,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni,QA,ExpectedCost_1000
332,Badelj,c,LAZ,22,"5,84","5,75",1,0,0 / 0,0,0,6,0,7,-
333,Ranocchia,d,INT,2,"6,0","5,75",0,0,0 / 0,0,0,1,0,2,-
334,Patric,d,LAZ,14,"5,79","5,75",0,0,0 / 0,0,0,1,0,4,-
335,Mauri J,c,MIL,4,"5,75","5,75",0,0,0 / 0,0,0,0,0,2,-
336,Luperto,d,NAP,10,"5,75","5,75",0,0,0 / 0,0,0,0,0,3,-
337,Salamon,d,FRO,20,"5,82","5,75",0,0,0 / 0,0,0,3,0,7,-
338,Parigini,a,TOR,12,"5,83","5,75",0,0,0 / 0,0,0,2,0,5,-
339,Vlahovic,a,FIO,4,"5,75","5,75",0,0,0 / 0,0,0,0,0,3,-
340,Vloet,c,FRO,4,"5,75","5,75",0,0,0 / 0,0,0,0,0,4,-
341,Dalmonte,a,GEN,2,"5,75","5,75",0,0,0 / 0,0,0,0,0,2,-
342,Nikolaou,d,EMP,4,"5,75","5,75",0,0,0 / 0,0,0,0,0,3,-
343,Lerager,c,GEN,14,"5,68","5,75",1,0,0 / 0,0,0,4,0,6,-
344,Despodov,a,CAG,4,"5,75","5,75",0,0,0 / 0,0,0,0,0,4,-
345,Jankovic,c,SPA,2,"6,0","5,75",0,0,0 / 0,0,0,1,0,6,-
346,Nicolussi Caviglia,c,JUV,2,"5,75","5,75",0,0,0 / 0,0,0,0,0,3,-
347,Hysaj,d,NAP,25,"5,74","5,74",0,0,0 / 0,0,2,4,0,8,-
348,Tonelli,d,SAM,19,"5,84","5,74",1,0,0 / 0,0,0,6,0,7,-
349,Biraschi,d,GEN,34,"5,87","5,74",0,0,0 / 0,0,0,3,1,8,-
350,Hetemaj,c,CHI,28,"5,68","5,73",2,0,0 / 0,0,0,9,0,7,-
351,Radu,d,LAZ,28,"5,79","5,73",0,0,0 / 0,0,1,5,0,7,-
352,Machis,a,UDI,11,"5,68","5,73",0,0,0 / 0,0,1,2,0,8,-
353,Gagliolo,d,PAR,34,"5,91","5,72",0,0,0 / 0,0,1,7,0,8,-
354,Juan Jesus,d,ROM,18,"5,78","5,72",1,0,0 / 0,0,0,4,0,7,-
355,Krejci,c,BOL,16,"5,59","5,72",0,0,0 / 0,0,3,2,0,6,-
356,Marlon,d,SAS,18,"5,69","5,72",1,0,0 / 0,0,0,3,1,7,-
357,Gori,c,FRO,7,"5,93","5,71",0,0,0 / 0,0,0,3,0,3,-
358,Soddimo,c,FRO,7,"5,71","5,71",0,0,0 / 0,0,1,2,0,4,-
359,Caceres,d,JUV,12,"5,75","5,71",0,0,0 / 0,0,0,1,0,5,-
360,Sala,d,SAM,19,"5,79","5,71",0,0,0 / 0,0,1,5,0,6,-
361,Lukaku J.,d,LAZ,7,"5,79","5,71",0,0,0 / 0,0,0,1,0,4,-
362,Teodorczyk,a,UDI,12,"5,75","5,71",1,0,0 / 1,0,0,1,0,8,-
363,Maiello,c,FRO,27,"5,78","5,70",0,0,0 / 0,0,0,4,0,8,-
364,Norgaard,c,FIO,5,"5,7","5,7",0,0,0 / 0,0,0,0,0,3,-
365,Campbell,a,FRO,15,"5,63","5,7",0,0,0 / 0,0,3,4,0,8,-
366,Kiyine,c,CHI,18,"5,81","5,69",0,0,0 / 0,0,1,7,0,6,-
367,Diousse',c,CHI,14,"5,86","5,68",0,0,0 / 0,0,0,5,0,6,-
368,Bereszynski,d,SAM,25,"5,74","5,68",0,0,0 / 0,0,2,5,1,6,-
369,Leris,a,CHI,22,"5,75","5,68",0,0,0 / 0,0,1,5,0,5,-
370,Calabresi,d,BOL,17,"5,74","5,68",1,0,0 / 0,0,0,8,0,5,-
371,Frey,d,CHI,3,"5,67","5,67",0,0,0 / 0,0,0,0,0,3,-
372,Adnan,d,ATA,3,"5,67","5,67",0,0,0 / 0,0,0,0,0,1,-
373,Zampano,d,FRO,26,"5,65","5,67",0,0,0 / 0,0,1,1,0,7,-
374,Miguel Veloso,c,GEN,21,"5,79","5,67",0,0,0 / 0,0,1,7,0,7,-
375,Depaoli,c,CHI,32,"5,77","5,67",0,0,0 / 0,0,4,10,2,6,-
376,Karsdorp,d,ROM,9,"5,72","5,67",0,0,0 / 0,0,0,1,0,4,-
377,Rogerio,d,SAS,32,"5,72","5,67",1,0,0 / 0,0,1,9,1,6,-
378,Junior Tavares,d,SAM,3,"5,83","5,67",0,0,0 / 0,0,0,1,0,2,-
379,Untersee,d,EMP,3,"5,67","5,67",0,0,0 / 0,0,0,0,0,2,-
380,Laxalt,c,MIL,13,"5,73","5,65",0,0,0 / 0,0,0,2,0,6,-
381,Jankto,c,SAM,17,"5,71","5,65",0,0,0 / 0,0,0,2,0,8,-
382,Miranda,d,INT,14,"5,75","5,64",0,0,0 / 0,0,0,3,0,7,-
383,Dalbert,d,INT,11,"5,64","5,64",0,0,0 / 0,0,1,2,0,4,-
384,Iacoponi,d,PAR,38,"5,70","5,64",0,0,0 / 0,0,0,4,0,7,-
385,Fernandes,c,FIO,28,"5,61","5,64",2,0,0 / 0,0,0,8,1,7,-
386,Radovanovic,c,GEN,35,"5,76","5,63",0,0,0 / 0,0,0,9,0,6,-
387,Cesar,d,CHI,13,"5,5","5,62",1,0,0 / 0,0,0,3,0,5,-
388,Goldaniga,d,FRO,29,"5,59","5,62",1,0,0 / 0,0,1,6,0,6,-
389,Zukanovic,d,GEN,24,"5,73","5,62",0,0,0 / 0,0,0,5,0,6,-
390,Thereau,a,CAG,4,"5,62","5,62",0,0,0 / 0,0,0,1,0,7,-
391,Donsah,c,BOL,4,"5,62","5,62",0,0,0 / 0,0,0,0,0,5,-
392,Deiola,c,CAG,17,"5,71","5,62",0,0,0 / 0,0,1,5,0,4,-
393,Ciciretti,c,PAR,4,"5,62","5,62",0,0,0 / 0,0,0,0,0,7,-
394,Gunter,d,GEN,12,"5,67","5,62",0,0,0 / 0,0,0,1,0,4,-
395,Bradaric F.,c,CAG,23,"5,76","5,61",0,0,0 / 0,0,1,5,0,7,-
396,Pereira P.,d,GEN,20,"5,62","5,6",0,0,0 / 0,0,0,1,0,5,-
397,Barak,c,UDI,5,"5,6","5,6",0,0,0 / 0,0,0,0,0,8,-
398,Lykogiannis,d,CAG,10,"5,55","5,6",0,0,0 / 0,0,1,1,0,3,-
399,Diawara,c,NAP,11,"5,77","5,59",0,0,0 / 0,0,0,4,0,6,-
400,Di Gaudio,c,PAR,11,"5,59","5,59",0,0,0 / 0,0,0,0,0,4,-
401,Gonzalez G,d,BOL,11,"5,59","5,59",0,0,0 / 0,0,1,2,0,5,-
