,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni,QA,ExpectedCost_1000
0,Miranchuk,c,TOR,1,"7,0","10,0",1,0,0 / 0,0,0,0,0,9,30
1,Kallon,a,VER,1,"7,0","10,0",1,0,0 / 0,0,0,0,0,4,2
2,Vlahovic,a,JUV,4,"6,75","9,75",4,0,1 / 1,0,0,0,0,41,383
3,Koopmeiners,c,ATA,4,"6,75","9,62",4,0,2 / 2,0,0,1,0,19,40
4,Dia,a,SAL,3,"6,67","9,33",2,0,0 / 0,0,2,0,0,19,52
5,Rebic,a,MIL,2,"6,5","9,25",2,0,0 / 0,0,0,1,0,15,41
6,Kvaratskhelia,c,NAP,4,"6,75","9,25",3,0,0 / 0,0,1,0,0,21,135
7,Martinez L.,a,INT,4,"6,62","9,12",3,0,0 / 0,0,1,0,0,36,325
8,Di Maria,a,JUV,2,"6,75","8,75",1,0,0 / 0,0,1,0,0,26,114
9,Dybala,a,ROM,4,"6,75","8,5",2,0,0 / 0,0,1,0,0,30,197
10,Arnautovic,a,BOL,4,"6,38","8,38",3,0,2 / 2,0,0,2,0,28,140
11,Correa,a,INT,3,"6,33","8,33",2,0,0 / 0,0,0,0,0,18,35
12,Milik,a,JUV,2,"6,5","8,0",1,0,0 / 0,0,0,0,0,22,76
13,Beto,a,UDI,4,"6,5","8,0",2,0,0 / 0,0,0,0,0,25,95
14,Baldanzi,c,EMP,2,"6,5","8,0",1,0,0 / 0,0,0,0,0,4,5
15,Immobile,a,LAZ,4,"6,38","7,88",2,0,0 / 0,0,1,2,0,41,390
16,Pedro,a,LAZ,3,"6,5","7,83",1,0,0 / 0,0,1,0,0,20,67
17,Zielinski,c,NAP,4,"6,5","7,75",1,0,0 / 0,0,2,0,0,21,80
18,Gabbiadini,a,SAM,2,"6,25","7,75",1,0,0 / 0,0,0,0,0,15,30
19,Osimhen,a,NAP,4,"6,12","7,75",2,0,0 / 0,0,1,1,0,34,350
20,Vlasic,c,TOR,4,"6,38","7,75",2,0,0 / 0,0,0,1,0,17,36
21,Lobotka,c,NAP,4,"6,62","7,62",1,0,0 / 0,0,1,0,0,13,29
22,Radonjic,c,TOR,4,"6,62","7,62",1,0,0 / 0,0,1,0,0,10,35
23,Nzola,a,SPE,4,"6,12","7,62",2,0,1 / 1,0,0,0,0,15,55
24,Lukaku,a,INT,3,"6,17","7,5",1,0,0 / 0,0,1,0,0,38,363
25,Malinovskyi,c,ATA,3,"6,33","7,5",1,0,0 / 0,0,1,1,0,22,65
26,Diaz B.,c,MIL,3,"6,17","7,5",1,0,0 / 0,0,1,0,0,12,26
27,Parisi,d,EMP,4,"6,75","7,5",1,0,0 / 0,0,0,0,0,11,14
28,Dumfries,d,INT,4,"6,5","7,5",1,0,0 / 0,0,1,0,0,21,77
29,Okereke,a,CRE,4,"6,12","7,5",2,0,0 / 0,0,0,1,0,14,31
30,Henry,a,VER,4,"6,12","7,5",2,0,0 / 0,0,0,1,0,19,60
31,Doig,d,VER,1,"6,5","7,5",0,0,0 / 0,0,1,0,0,6,7
32,Colpani,c,MON,2,"6,0","7,5",1,0,0 / 0,0,0,0,0,5,8
33,Mota,a,MON,2,"6,0","7,5",1,0,0 / 0,0,0,0,0,10,26
34,Barella,c,INT,4,"6,38","7,38",1,0,0 / 0,0,1,0,0,21,64
35,Smalling,d,ROM,4,"6,75","7,38",1,0,0 / 0,0,0,1,0,15,35
36,Bonaventura,c,FIO,3,"6,33","7,33",1,0,0 / 0,0,0,0,0,15,39
37,Politano,c,NAP,3,"6,5","7,33",1,0,0 / 0,0,0,1,0,16,26
38,Luis Alberto,c,LAZ,3,"6,33","7,33",1,0,0 / 0,0,0,0,0,19,65
39,Bonazzoli,a,SAL,4,"6,38","7,25",1,0,0 / 0,0,1,1,0,15,40
40,Milinkovic-Savic,c,LAZ,4,"6,62","7,25",0,0,0 / 0,0,3,1,0,29,158
41,Calhanoglu,c,INT,4,"6,25","7,25",1,0,0 / 0,0,1,0,0,20,70
42,Abraham,a,ROM,4,"6,25","7,25",1,0,0 / 0,0,1,0,0,32,325
43,Bennacer,c,MIL,4,"6,5","7,25",1,0,0 / 0,0,0,0,0,12,20
