,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni
413,Ferrari A.,d,VER,25,"5,5","5,52",1,0,0 / 0,0,0,5,0
414,Gonzalez G,d,BOL,22,"5,70","5,52",0,0,0 / 0,0,0,4,2
415,Drame',d,SPA,2,"5,5","5,5",0,0,0 / 0,0,0,0,0
416,Lamanna,p,GEN,1,"6,5","5,5",0,1,0 / 0,0,0,0,0
417,Santon,d,INT,13,"5,58","5,5",0,0,0 / 0,0,0,2,0
418,Wague,d,UDI,1,"5,5","5,5",0,0,0 / 0,0,0,0,0
419,Verre,c,SAM,7,"5,64","5,5",0,0,0 / 0,0,0,2,0
420,Hallfredsson,c,UDI,15,"5,77","5,5",0,0,0 / 0,0,0,5,0
421,Zaccagni,c,VER,3,"5,5","5,5",0,0,0 / 0,0,0,0,0
422,Vitale,c,SPA,1,"6,0","5,5",0,0,0 / 0,0,0,1,0
423,Cop,a,CAG,2,"5,5","5,5",0,0,0 / 0,0,0,0,0
424,Barreca,d,TOR,9,"5,61","5,5",0,0,0 / 0,0,0,0,1
425,Gustafson,c,TOR,4,"5,5","5,5",0,0,0 / 0,0,0,0,0
426,Cristoforo,c,FIO,4,"5,62","5,5",0,0,0 / 0,0,0,1,0
427,Gyamfi,d,BEN,6,"5,58","5,5",0,0,0 / 0,0,0,1,0
428,Lucioni,d,BEN,8,"5,81","5,5",0,0,0 / 0,0,0,1,0
429,Ceravolo,a,BEN,1,"5,5","5,5",0,0,0 / 0,0,0,0,0
430,Vicari,d,SPA,34,"5,76","5,5",0,0,0 / 0,0,1,10,1
431,Schiavon,c,SPA,8,"5,75","5,5",0,0,0 / 0,0,0,4,0
432,Centurion,c,GEN,2,"5,5","5,5",0,0,0 / 0,0,0,0,0
433,Brlek,c,GEN,4,"5,62","5,5",0,0,0 / 0,0,0,1,0
434,Zanellato,c,CRO,1,"5,5","5,5",0,0,0 / 0,0,0,0,0
435,Romero A,c,CRO,2,"5,75","5,5",0,0,0 / 0,0,0,2,0
436,Keita C,d,BOL,2,"5,5","5,5",0,0,0 / 0,0,0,0,0
437,Bearzotti,d,VER,6,"5,5","5,5",0,0,0 / 0,0,0,0,0
438,Lisandro Lopez,d,INT,1,"5,5","5,5",0,0,0 / 0,0,0,0,0
439,Ceter,a,CAG,5,"5,5","5,5",0,0,0 / 0,0,0,0,0
440,Samir,d,UDI,31,"5,56","5,48",2,0,0 / 0,0,0,7,1
441,Fossati,c,VER,16,"5,62","5,47",0,0,0 / 0,0,0,5,0
442,Rigoni N,c,CHI,14,"5,54","5,46",0,0,0 / 0,0,0,3,0
443,Castan,d,CAG,14,"5,57","5,46",0,0,0 / 0,0,1,5,0
444,Angella,d,UDI,12,"5,58","5,46",0,0,0 / 0,0,0,3,0
445,Handanovic,p,INT,38,"6,29","5,45",0,30,0 / 0,0,0,0,0
446,Musacchio,d,MIL,14,"5,54","5,43",0,0,0 / 0,0,0,3,0
447,Vaisanen,d,SPA,7,"5,5","5,43",0,0,0 / 0,0,0,1,0
448,Sala,d,SAM,13,"5,54","5,42",0,0,0 / 0,0,0,1,1
449,Del Pinto,c,BEN,12,"5,67","5,42",0,0,0 / 0,0,0,6,0
450,Jaroszynski,d,CHI,10,"5,55","5,4",0,0,0 / 0,0,0,3,0
451,Migliore,d,GEN,5,"5,5","5,4",0,0,0 / 0,0,0,1,0
452,Aarons,c,VER,10,"5,4","5,4",0,0,0 / 0,0,0,0,0
453,Meggiorini,a,CHI,14,"5,46","5,39",0,0,0 / 0,0,0,2,0
454,Venuti,d,BEN,30,"5,48","5,38",0,0,0 / 0,0,1,4,0
455,Felicioli,d,VER,4,"5,5","5,38",0,0,0 / 0,0,0,1,0
456,Van Der Wiel,d,CAG,4,"5,38","5,38",0,0,0 / 0,0,0,0,0
457,Olivera M.,d,FIO,7,"5,43","5,36",0,0,0 / 0,0,0,1,0
458,Pavlovic D.,d,CRO,10,"5,35","5,35",0,0,0 / 0,0,0,0,0
459,Di Chiara,d,BEN,13,"5,46","5,35",0,0,0 / 0,0,0,3,0
460,Buchel,c,VER,21,"5,55","5,33",0,0,0 / 0,0,0,9,0
461,Krafth,d,BOL,12,"5,42","5,33",0,0,0 / 0,0,0,2,0
462,Avenatti,a,BOL,9,"5,39","5,33",0,0,0 / 0,0,0,1,0
463,Heurtaux,d,VER,17,"5,44","5,32",0,0,0 / 0,0,0,2,1
464,Sirigu,p,TOR,37,"6,32","5,32",0,45,0 / 0,3,0,2,0
465,Cabrera,d,CRO,5,"5,3","5,3",0,0,0 / 0,0,0,0,0
466,Reina,p,NAP,37,"6,08","5,28",0,29,0 / 0,0,0,1,0
467,Costa,d,BEN,16,"5,41","5,25",0,0,0 / 0,0,0,5,0
468,Antei,d,BEN,8,"5,44","5,25",0,0,0 / 0,0,0,1,1
469,Chibsah,c,BEN,14,"5,36","5,21",0,0,0 / 0,0,0,4,0
470,Pezzella Giu.,d,UDI,14,"5,39","5,21",0,0,0 / 0,0,0,3,1
471,Wallace,d,LAZ,12,"5,58","5,21",0,0,0 / 0,0,0,5,0
472,Billong,d,BEN,5,"5,2","5,2",0,0,0 / 0,0,0,0,0
473,Oikonomou,d,SPA,3,"5,5","5,17",0,0,0 / 0,0,0,0,1
474,Cesar,d,CHI,9,"5,67","5,17",0,0,0 / 0,0,0,1,0
475,Izco,c,CRO,3,"5,17","5,17",0,0,0 / 0,0,0,0,0
476,Antonelli,d,MIL,3,"5,33","5,17",0,0,0 / 0,0,0,1,0
477,Fares,a,VER,30,"5,38","5,15",0,0,0 / 0,0,1,12,0
478,Giannetti,a,CAG,4,"5,38","5,12",0,0,0 / 0,0,0,3,0
479,Perin,p,GEN,37,"6,24","5,09",0,42,0 / 0,0,0,1,0
480,Sportiello,p,FIO,37,"6,05","5,08",0,38,0 / 0,1,0,0,1
481,Berisha,p,ATA,31,"6,08","5,08",0,34,0 / 0,1,0,0,0
482,Strakosha,p,LAZ,38,"6,32","5,08",0,49,0 / 0,1,0,2,0
483,Souprayen,d,VER,20,"5,22","5,02",0,0,0 / 0,0,0,2,1
484,Da Costa,p,BOL,4,"6,25","5,0",0,5,0 / 0,0,0,0,0
485,Rafael,p,CAG,10,"6,15","5,0",0,11,0 / 0,0,0,1,0
486,Boldor,d,VER,1,"5,0","5,0",0,0,0 / 0,0,0,0,0
487,Pinsoglio,p,JUV,1,"6,0","5,0",0,1,0 / 0,0,0,0,0
488,Milinkovic-Savic V.,p,TOR,1,"6,0","5,0",0,1,0 / 0,0,0,0,0
489,Santurro,p,BOL,1,"6,5","5,0",0,1,0 / 0,0,0,1,0
