,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni
0,Kean,a,JUV,1,"7,0","10,0",1,0,0 / 0,0,0,0,0
1,Pellegri,a,GEN,1,"7,0","10,0",1,0,0 / 0,0,0,0,0
2,Crosta,p,CAG,1,"7,5","9,5",0,1,0 / 0,1,0,0,0
3,Mertens,a,NAP,34,"6,85","9,38",28,0,2 / 3,0,8,6,0
4,Dzeko,a,ROM,37,"6,62","8,97",29,0,1 / 3,0,8,4,0
5,Belotti,a,TOR,35,"6,56","8,54",26,0,2 / 5,0,3,5,0
6,Higuain,a,JUV,38,"6,43","8,39",24,0,0 / 0,0,3,1,0
7,Insigne,a,NAP,37,"6,65","8,30",18,0,2 / 2,0,8,2,0
8,Icardi,a,INT,34,"6,21","8,28",24,0,3 / 4,0,4,1,0
9,Immobile,a,LAZ,36,"6,38","8,28",23,0,6 / 6,0,2,5,0
10,Gomez,c,ATA,37,"6,74","8,23",16,0,2 / 2,0,10,6,0
11,Keita B.,a,LAZ,31,"6,55","8,13",16,0,2 / 2,0,4,4,1
12,Salah,a,ROM,31,"6,29","8,03",15,0,0 / 0,0,10,2,0
13,Tonelli,d,NAP,3,"6,33","8,0",2,0,0 / 0,0,0,2,0
14,Dybala,a,JUV,29,"6,57","7,91",11,0,3 / 3,0,7,2,0
15,Callejon,a,NAP,37,"6,42","7,82",14,0,0 / 0,0,12,2,1
16,Crecco,c,LAZ,2,"6,25","7,75",1,0,0 / 0,0,0,0,0
17,Zarate,a,FIO,5,"6,4","7,7",2,0,0 / 0,0,1,1,0
18,Milik,a,NAP,10,"6,25","7,7",5,0,0 / 0,0,0,1,0
19,Zajc,c,EMP,3,"6,33","7,67",1,0,0 / 0,0,1,0,0
20,Babacar,a,FIO,20,"6,0","7,55",10,0,1 / 1,0,1,0,0
21,Defrel,a,SAS,28,"6,20","7,5",12,0,1 / 1,0,1,1,0
22,Hamsik,c,NAP,38,"6,39","7,46",12,0,0 / 0,0,5,1,0
23,Borriello,a,CAG,34,"6,21","7,46",16,0,1 / 2,0,1,4,0
24,Schick,a,SAM,29,"6,24","7,45",11,0,0 / 0,0,3,2,0
25,Muriel,a,SAM,31,"6,31","7,44",11,0,4 / 4,0,5,4,1
26,Nainggolan,c,ROM,36,"6,47","7,42",11,0,0 / 0,0,2,2,0
27,Perotti,c,ROM,27,"6,26","7,33",8,0,7 / 7,0,6,2,0
28,Kalinic,a,FIO,32,"6,05","7,28",15,0,1 / 2,0,1,5,1
29,Falcinelli,a,CRO,36,"6,21","7,25",13,0,2 / 2,0,2,7,0
30,Totti,a,ROM,11,"6,45","7,23",2,0,2 / 2,0,3,1,0
31,Iemmello,a,SAS,12,"6,0","7,21",5,0,1 / 1,0,0,1,0
32,Lapadula,a,MIL,23,"6,13","7,20",8,0,2 / 2,0,2,3,0
33,Iago Falque,a,TOR,34,"6,07","7,19",12,0,2 / 3,0,6,2,0
34,Perisic,c,INT,36,"6,14","7,19",11,0,0 / 0,0,7,2,1
35,Han,a,CAG,3,"6,17","7,17",1,0,0 / 0,0,0,0,0
36,El Shaarawy,a,ROM,29,"6,14","7,10",8,0,0 / 0,0,4,0,0
37,Conti,d,ATA,32,"6,39","7,08",8,0,0 / 0,0,4,12,0
38,Bernardeschi,c,FIO,32,"6,16","7,05",11,0,3 / 4,0,2,5,1
39,Farias,a,CAG,20,"6,0","7,05",7,0,2 / 2,0,2,4,0
40,Bahebeck,a,PES,13,"6,04","7,04",4,0,0 / 0,0,1,0,0
41,Quagliarella,a,SAM,36,"6,06","7,03",12,0,3 / 4,0,3,2,0
