,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni,QA,ExpectedCost_1000,Classifica
459,Di Chiara,d,BEN,13,"5,46","5,35",0,0,0 / 0,0,0,3,0,2,-,
460,Buchel,c,VER,21,"5,55","5,33",0,0,0 / 0,0,0,9,0,2,-,
461,Krafth,d,BOL,12,"5,42","5,33",0,0,0 / 0,0,0,2,0,2,-,10
462,Avenatti,a,BOL,9,"5,39","5,33",0,0,0 / 0,0,0,1,0,3,-,10
463,Heurtaux,d,VER,17,"5,44","5,32",0,0,0 / 0,0,0,2,1,3,-,
464,Sirigu,p,TOR,37,"6,32","5,32",0,45,0 / 0,3,0,2,0,15,-,7
465,Cabrera,d,CRO,5,"5,3","5,3",0,0,0 / 0,0,0,0,0,2,-,
466,Reina,p,NAP,37,"6,08","5,28",0,29,0 / 0,0,0,1,0,14,-,2
467,Costa,d,BEN,16,"5,41","5,25",0,0,0 / 0,0,0,5,0,2,-,
468,Antei,d,BEN,8,"5,44","5,25",0,0,0 / 0,0,0,1,1,1,-,
469,Chibsah,c,BEN,14,"5,36","5,21",0,0,0 / 0,0,0,4,0,3,-,
470,Pezzella Giu.,d,UDI,14,"5,39","5,21",0,0,0 / 0,0,0,3,1,1,-,12
471,Wallace,d,LAZ,12,"5,58","5,21",0,0,0 / 0,0,0,5,0,2,-,8
472,Billong,d,BEN,5,"5,2","5,2",0,0,0 / 0,0,0,0,0,1,-,
473,Oikonomou,d,SPA,3,"5,5","5,17",0,0,0 / 0,0,0,0,1,2,-,13
474,Cesar,d,CHI,9,"5,67","5,17",0,0,0 / 0,0,0,1,0,1,-,20
475,Izco,c,CRO,3,"5,17","5,17",0,0,0 / 0,0,0,0,0,1,-,
476,Antonelli,d,MIL,3,"5,33","5,17",0,0,0 / 0,0,0,1,0,1,-,5
477,Fares,a,VER,30,"5,38","5,15",0,0,0 / 0,0,1,12,0,3,-,
478,Giannetti,a,CAG,4,"5,38","5,12",0,0,0 / 0,0,0,3,0,1,-,15
479,Perin,p,GEN,37,"6,24","5,09",0,42,0 / 0,0,0,1,0,12,-,17
480,Sportiello,p,FIO,37,"6,05","5,08",0,38,0 / 0,1,0,0,1,12,-,14
481,Berisha,p,ATA,31,"6,08","5,08",0,34,0 / 0,1,0,0,0,12,-,3
482,Strakosha,p,LAZ,38,"6,32","5,08",0,49,0 / 0,1,0,2,0,11,-,8
483,Souprayen,d,VER,20,"5,22","5,02",0,0,0 / 0,0,0,2,1,3,-,
484,Da Costa,p,BOL,4,"6,25","5,0",0,5,0 / 0,0,0,0,0,2,-,10
485,Rafael,p,CAG,10,"6,15","5,0",0,11,0 / 0,0,0,1,0,3,-,15
486,Boldor,d,VER,1,"5,0","5,0",0,0,0 / 0,0,0,0,0,1,-,
487,Pinsoglio,p,JUV,1,"6,0","5,0",0,1,0 / 0,0,0,0,0,2,-,1
488,Milinkovic-Savic V.,p,TOR,1,"6,0","5,0",0,1,0 / 0,0,0,0,0,2,-,7
489,Santurro,p,BOL,1,"6,5","5,0",0,1,0 / 0,0,0,1,0,1,-,10
490,Rossi F.,p,ATA,1,"6,0","5,0",0,1,0 / 0,0,0,0,0,2,-,3
491,Palombi,a,LAZ,1,"5,0","5,0",0,0,0 / 0,0,0,0,0,1,-,8
492,Sorrentino,p,CHI,38,"6,29","4,95",0,59,0 / 0,3,0,2,0,13,-,20
493,Donnarumma G.,p,MIL,38,"6,09","4,91",0,42,0 / 0,0,0,2,0,14,-,5
494,Gentiletti,d,GEN,4,"5,12","4,88",0,0,0 / 0,0,0,2,0,1,-,17
495,Viviano,p,SAM,27,"6,11","4,85",0,43,0 / 0,4,0,2,0,9,-,9
496,Sadiq,a,TOR,3,"4,83","4,83",0,0,0 / 0,0,0,0,0,1,-,7
497,Cremonesi,d,SPA,5,"5,4","4,8",0,0,0 / 0,0,0,2,0,1,-,13
498,Cragno,p,CAG,29,"6,21","4,79",0,47,0 / 0,2,0,0,0,10,-,15
499,Consigli,p,SAS,37,"6,20","4,69",0,58,0 / 0,1,0,2,0,11,-,11
500,Mirante,p,BOL,33,"6,15","4,62",0,46,0 / 0,0,0,5,0,9,-,10
501,Bizzarri,p,UDI,32,"6,06","4,59",0,52,0 / 0,2,0,0,1,8,-,12
502,Gomis A,p,SPA,25,"6,16","4,56",0,43,0 / 0,1,0,0,0,5,-,13
503,Dussenne,d,CRO,1,"5,0","4,5",0,0,0 / 0,0,0,1,0,1,-,
504,Cordaz,p,CRO,38,"6,17","4,49",0,66,0 / 0,1,0,2,0,10,-,
505,Scuffet,p,UDI,6,"5,75","4,42",0,11,0 / 0,1,0,0,0,2,-,12
506,Puggioni,p,BEN,23,"6,07","4,37",0,38,0 / 0,0,0,0,1,6,-,
507,Nicolas,p,VER,36,"6,06","4,19",0,71,0 / 0,2,0,2,1,7,-,
508,Pegolo,p,SAS,2,"5,5","4,0",0,1,0 / 0,0,0,0,0,1,-,11
509,Brignoli,p,BEN,13,"5,92","3,65",1,31,0 / 0,0,0,3,0,1,-,
510,Belec,p,SAM,15,"5,83","3,6",0,32,0 / 0,0,0,1,1,1,-,9
511,Silvestri,p,VER,2,"6,5","3,0",0,7,0 / 0,0,0,0,0,1,-,
512,Dragowski,p,FIO,3,"5,5","2,83",0,8,0 / 0,0,0,0,0,1,-,14
513,Crosta,p,CAG,1,"4,5","1,5",0,3,0 / 0,0,0,0,0,1,-,15
514,Radunovic,p,ATA,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,3
515,Brivio,d,GEN,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,17
516,Cherubin,d,VER,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,
517,Gastaldello,d,BOL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,3,-,10
518,Seculin,p,CHI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,20
519,Frey,d,CHI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,20
520,Camporese,d,BEN,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,3,-,
521,Fernandez M,c,FIO,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,4,-,14
522,Acosty,a,CRO,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,
523,Rebic,a,FIO,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,14
524,Donnarumma An.,p,MIL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,5
525,Gakpe',a,GEN,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,17
526,Berni,p,INT,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,4
527,Dodo' R.,d,SAM,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,9
528,Murillo,d,INT,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,8,-,4
529,Gnoukouri,c,INT,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,4
530,Kondogbia,c,INT,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,6,-,4
531,Medel,c,INT,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,5,-,4
532,Biabiany,c,INT,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,2,-,4
533,Jovetic,a,INT,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,12,-,4
534,Guerrieri,p,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,8
535,Marchetti,p,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,8
536,Hoedt,d,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,4,-,8
537,Mauricio,d,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,8
538,Crecco,c,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,8
539,Kishna,a,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,3,-,8
540,Djordjevic,a,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,8
541,Keita B.,a,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,24,-,8
542,Albertazzi,d,VER,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,
543,Paletta,d,MIL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,5
544,Mauri J,c,MIL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,5
545,Bacca,a,MIL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,21,-,5
546,Gabriel,p,MIL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,5
547,Rafael Cabral,p,NAP,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,2
548,Lobont,p,ROM,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,6
549,Iturbe,a,ROM,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,4,-,6
550,Pomini,p,SAS,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,11
551,Ichazo,p,TOR,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,7
552,Padelli,p,INT,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,4
553,Avelar,d,TOR,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,7
554,Karnezis,p,UDI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,12
555,Gabriel Silva,d,UDI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,3,-,12
556,Badu,c,UDI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,7,-,12
557,Kone,c,UDI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,4,-,12
558,Coppola,p,VER,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,
559,Laner,c,VER,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,
560,Falco,c,BOL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,10
561,Mounier,c,BOL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-,10
562,Lemina,c,JUV,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,7,-,1
