,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni,QA,ExpectedCost_1000,Classifica
0,Quagliarella,a,SAM,37,"6,5","8,70",26,0,9 / 10,0,7,1,0,35,-,15
1,Ronaldo,a,JUV,31,"6,53","8,65",21,0,5 / 6,0,7,3,0,41,-,1
2,Zapata D.,a,ATA,37,"6,46","8,36",23,0,1 / 2,0,7,5,0,32,-,3
3,Kean,a,JUV,10,"6,4","8,1",6,0,0 / 0,0,0,2,0,10,-,1
4,Piatek,a,MIL,37,"6,35","8,07",22,0,2 / 2,0,0,5,0,28,-,6
5,Mertens,a,NAP,35,"6,29","7,93",16,0,1 / 1,0,10,1,0,33,-,7
6,Pavoletti,a,CAG,32,"6,19","7,62",16,0,0 / 0,0,1,6,0,23,-,13
7,Milik,a,NAP,35,"6,11","7,57",17,0,0 / 0,0,2,4,0,25,-,7
8,Ilicic,c,ATA,31,"6,40","7,56",12,0,0 / 1,0,6,4,1,26,-,3
9,Mandzukic,a,JUV,25,"6,3","7,54",9,0,0 / 0,0,6,4,0,23,-,1
10,Okaka,a,UDI,14,"6,25","7,46",6,0,0 / 0,0,1,4,0,16,-,14
11,El Shaarawy,a,ROM,28,"6,20","7,45",11,0,0 / 0,0,3,2,0,20,-,5
12,Immobile,a,LAZ,35,"6,06","7,43",15,0,4 / 4,0,6,6,0,31,-,4
13,Destro,a,BOL,9,"6,11","7,39",4,0,0 / 0,0,1,3,0,13,-,12
14,Bonaventura,c,MIL,8,"6,19","7,31",3,0,0 / 0,0,0,0,0,17,-,6
15,Petagna,a,SPA,36,"6,08","7,31",16,0,6 / 6,0,0,8,0,22,-,20
16,Belotti,a,TOR,37,"6,22","7,31",15,0,5 / 6,0,1,5,0,27,-,16
17,Gervinho,a,PAR,29,"6,14","7,29",11,0,0 / 0,0,2,3,0,16,-,10
18,Inglese,a,PAR,24,"6,10","7,25",9,0,2 / 2,0,2,3,0,18,-,10
19,Boateng,c,SAS,13,"6,27","7,23",4,0,2 / 2,0,1,1,0,20,-,8
20,Caicedo,a,LAZ,23,"6,13","7,17",8,0,1 / 1,0,2,4,0,13,-,4
21,Insigne,a,NAP,28,"6,16","7,16",10,0,1 / 2,0,5,6,1,23,-,7
22,Gomez,a,ATA,35,"6,33","7,14",7,0,0 / 0,0,10,5,0,24,-,3
23,Iago Falque,a,TOR,25,"6,28","7,14",6,0,0 / 0,0,4,1,0,25,-,16
24,Younes,a,NAP,11,"6,18","7,14",3,0,0 / 0,0,2,1,0,9,-,7
25,Caputo,a,EMP,38,"6,08","7,14",16,0,3 / 6,0,3,3,0,20,-,
26,Perotti,c,ROM,13,"6,08","7,12",5,0,3 / 3,0,0,3,0,13,-,5
27,Icardi,a,INT,29,"5,91","7,09",11,0,5 / 6,0,4,0,0,26,-,2
28,Orsolini,a,BOL,31,"6,16","7,03",8,0,0 / 0,0,4,2,0,16,-,12
29,Defrel,a,SAM,35,"5,99","6,96",11,0,0 / 0,0,2,2,0,21,-,15
30,Gagliardini,c,INT,15,"6,07","6,93",5,0,0 / 0,0,0,4,0,10,-,2
31,Caprari,a,SAM,21,"6,0","6,93",6,0,0 / 0,0,2,1,0,12,-,15
32,Santander,a,BOL,29,"6,03","6,90",8,0,0 / 0,0,3,5,0,15,-,12
33,Nainggolan,c,INT,28,"6,18","6,88",6,0,0 / 0,0,3,3,0,22,-,2
34,Higuain,a,MIL,15,"5,93","6,87",6,0,0 / 1,0,1,2,1,26,-,6
35,Muriel,a,FIO,19,"5,95","6,87",6,0,0 / 0,0,0,1,0,21,-,9
36,Suso,a,MIL,35,"6,14","6,86",7,0,0 / 0,0,9,8,1,20,-,6
37,Dzeko,a,ROM,32,"6,0","6,86",9,0,0 / 0,0,5,9,0,25,-,5
38,Martinez L.,a,INT,22,"6,09","6,86",6,0,1 / 1,0,1,4,0,15,-,2
39,Ruiz,c,NAP,27,"6,26","6,85",5,0,0 / 0,0,3,2,1,16,-,7
40,Pellissier,a,CHI,14,"6,14","6,82",4,0,1 / 2,0,1,1,0,8,-,
41,De Paul,c,UDI,36,"6,21","6,81",9,0,3 / 6,0,7,7,0,23,-,14
42,Chiesa,c,FIO,37,"6,32","6,81",6,0,0 / 0,0,2,4,0,22,-,9
43,Correa,c,LAZ,34,"6,28","6,79",5,0,0 / 0,0,5,5,0,17,-,4
44,Babacar,a,SAS,26,"5,88","6,77",7,0,2 / 2,0,2,0,0,14,-,8
45,Callejon,a,NAP,33,"6,20","6,76",3,0,0 / 0,0,10,1,0,21,-,7
46,Berardi,a,SAS,35,"6,09","6,76",8,0,1 / 1,0,3,5,1,19,-,8
47,Ansaldi,d,TOR,24,"6,35","6,75",3,0,0 / 0,0,2,3,0,14,-,16
48,Keita B.,a,INT,21,"6,0","6,74",5,0,0 / 0,0,2,1,1,19,-,2
49,Farias,a,EMP,31,"6,0","6,74",7,0,0 / 0,0,4,4,0,15,-,
50,Kurtic,c,SPA,30,"6,12","6,73",6,0,0 / 0,0,5,9,0,14,-,20
51,Pastore,c,ROM,12,"5,88","6,71",3,0,0 / 0,0,1,0,0,16,-,5
52,Palacio,a,BOL,28,"6,27","6,70",3,0,0 / 0,0,6,6,0,14,-,12
53,Perisic,c,INT,34,"5,99","6,68",8,0,2 / 2,0,4,5,0,23,-,2
54,Dybala,a,JUV,27,"6,06","6,67",5,0,1 / 1,0,2,2,0,23,-,1
55,Ounas,a,NAP,12,"5,92","6,67",3,0,0 / 0,0,0,0,0,8,-,7
56,Kolarov,d,ROM,33,"6,03","6,67",8,0,3 / 3,0,1,6,1,17,-,5
57,Mancini,d,ATA,29,"6,21","6,67",5,0,0 / 0,0,1,5,0,13,-,3
58,Rigoni E,a,ATA,9,"5,72","6,67",3,0,0 / 0,0,0,1,0,9,-,3
59,Cataldi,c,LAZ,11,"6,09","6,64",2,0,0 / 0,0,1,2,0,7,-,4
60,Floccari,a,SPA,15,"6,03","6,63",3,0,0 / 0,0,1,3,0,9,-,20
61,Hateboer,d,ATA,34,"6,10","6,62",5,0,0 / 0,0,5,5,0,13,-,3
62,Zielinski,c,NAP,36,"6,12","6,60",6,0,0 / 0,0,2,6,0,17,-,7
63,Khedira,c,JUV,10,"6,0","6,6",2,0,0 / 0,0,0,0,0,14,-,1
64,Duncan,c,SAS,24,"6,10","6,60",4,0,0 / 0,0,4,6,1,12,-,8
65,Gabbiadini,a,SAM,16,"5,94","6,59",4,0,0 / 0,0,1,5,0,19,-,15
66,Kessie',c,MIL,34,"6,03","6,59",7,0,3 / 3,0,2,8,0,14,-,6
67,Castagne,d,ATA,27,"6,13","6,59",4,0,0 / 0,0,2,3,0,12,-,3
68,Izzo,d,TOR,37,"6,30","6,57",4,0,0 / 0,0,1,6,0,15,-,16
69,Pandev,a,GEN,21,"6,02","6,57",4,0,0 / 0,0,2,6,0,10,-,17
70,Under,a,ROM,23,"5,93","6,57",3,0,0 / 0,0,6,1,0,20,-,5
71,Castillejo,a,MIL,22,"5,98","6,57",4,0,0 / 0,0,2,3,0,14,-,6
72,Kucka,c,PAR,18,"5,94","6,56",4,0,1 / 1,0,2,4,1,12,-,10
73,Boga,c,SAS,24,"6,15","6,56",3,0,0 / 0,0,1,0,0,12,-,8
74,Demiral,d,SAS,14,"6,21","6,54",2,0,0 / 0,0,0,3,0,10,-,8
75,Krunic,c,EMP,33,"6,03","6,53",5,0,0 / 0,0,6,7,1,13,-,
76,Lazzari,c,SPA,33,"6,39","6,53",0,0,0 / 0,0,8,7,0,15,-,20
77,Pulgar,c,BOL,28,"6,02","6,52",6,0,5 / 5,0,2,6,1,13,-,12
78,Joao Pedro,c,CAG,34,"5,90","6,51",7,0,2 / 2,0,3,4,1,12,-,13
79,Kouame',a,GEN,38,"6,12","6,51",4,0,0 / 0,0,5,4,0,11,-,17
80,Castro,c,CAG,12,"6,04","6,5",1,0,0 / 0,0,3,1,0,10,-,13
81,Saponara,c,SAM,21,"6,10","6,5",2,0,0 / 0,0,4,3,0,10,-,15
82,Verdi,c,NAP,18,"5,83","6,5",3,0,1 / 1,0,3,0,0,13,-,7
83,Ljajic,a,TOR,1,"6,5","6,5",0,0,0 / 0,0,0,0,0,14,-,16
84,Politano,a,INT,36,"6,03","6,5",5,0,0 / 0,0,5,4,1,16,-,2
85,Sansone,a,BOL,14,"5,96","6,5",2,0,0 / 0,0,4,3,1,13,-,12
86,Adjapong,d,SAS,4,"5,88","6,5",1,0,0 / 0,0,0,1,0,3,-,8
