,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni,QA,ExpectedCost_1000,Classifica
35,Parisi,d,EMP,5,"6,7","7,3",1,0,0 / 0,0,0,0,0,12,18,15
36,Henry,a,VER,5,"6,3","7,3",2,0,0 / 0,0,0,2,0,20,60,13
37,Sernicola,d,CRE,2,"5,75","7,25",1,0,0 / 0,0,0,0,0,4,5,19
38,Strefezza,c,LEC,4,"6,5","7,25",1,0,0 / 0,0,0,0,0,14,40,17
39,Bennacer,c,MIL,5,"6,6","7,2",1,0,0 / 0,0,0,0,0,13,24,3
40,Rodrigo Becao,d,UDI,5,"6,5","7,2",1,0,0 / 0,0,1,1,0,13,17,4
41,Nzola,a,SPE,5,"6,0","7,2",2,0,1 / 1,0,0,0,0,15,54,14
42,Gabbiadini,a,SAM,3,"6,17","7,17",1,0,0 / 0,0,0,0,0,16,35,18
43,Vojvoda,d,TOR,3,"6,5","7,17",0,0,0 / 0,0,2,0,0,11,15,6
44,Perin,p,JUV,4,"6,62","7,12",0,1,0 / 0,1,0,0,0,8,10,7
45,Sanabria,a,TOR,4,"6,12","7,12",1,0,0 / 0,0,1,0,0,21,75,6
46,Politano,c,NAP,4,"6,5","7,12",1,0,0 / 0,0,0,1,0,16,30,2
47,Malinovskyi,c,ATA,4,"6,25","7,12",1,0,0 / 0,0,1,1,0,22,70,1
48,Diaz B.,c,MIL,4,"6,12","7,12",1,0,0 / 0,0,1,0,0,13,26,3
49,Okereke,a,CRE,5,"6,0","7,1",2,0,0 / 0,0,0,1,0,14,31,19
50,Toloi,d,ATA,5,"6,5","7,0",1,0,0 / 0,0,0,1,0,11,16,1
51,Nestorovski,a,UDI,1,"6,5","7,0",0,0,0 / 0,0,1,1,0,10,8,4
52,Smalling,d,ROM,5,"6,5","7,0",1,0,0 / 0,0,0,1,0,15,33,5
53,Zurkowski,c,FIO,1,"6,0","7,0",0,0,0 / 0,0,1,0,0,7,7,11
54,Ricci S.,c,TOR,3,"6,67","7,0",0,0,0 / 0,0,1,0,0,8,18,6
55,Colpani,c,MON,3,"6,0","7,0",1,0,0 / 0,0,0,0,0,7,5,20
56,Mota,a,MON,3,"6,0","7,0",1,0,0 / 0,0,0,0,0,11,26,20
57,Felipe Anderson,c,LAZ,5,"6,2","6,9",1,0,0 / 0,0,1,1,0,20,63,9
58,Bonazzoli,a,SAL,5,"6,2","6,9",1,0,0 / 0,0,1,1,0,16,45,10
59,Milinkovic-Savic,c,LAZ,5,"6,5","6,9",0,0,0 / 0,0,3,2,0,27,160,9
60,Dzeko,a,INT,5,"6,1","6,9",1,0,0 / 0,0,1,0,0,17,70,8
61,Barella,c,INT,5,"6,1","6,9",1,0,0 / 0,0,1,0,0,21,63,8
62,Ibanez,d,ROM,5,"6,3","6,9",1,0,0 / 0,0,0,0,0,12,19,5
63,Mazzocchi,d,SAL,5,"6,5","6,9",1,0,0 / 0,0,0,2,0,11,26,10
64,Dumfries,d,INT,5,"6,2","6,9",1,0,0 / 0,0,1,1,0,20,75,8
65,Lovric,c,UDI,5,"6,3","6,9",1,0,0 / 0,0,0,0,0,10,13,4
66,Luis Alberto,c,LAZ,4,"6,12","6,88",1,0,0 / 0,0,0,0,0,19,65,9
67,Calhanoglu,c,INT,5,"6,0","6,8",1,0,0 / 0,0,1,0,0,20,68,8
68,Abraham,a,ROM,5,"6,0","6,8",1,0,0 / 0,0,1,0,0,31,325,5
69,Lammers,a,EMP,5,"6,0","6,8",1,0,0 / 0,0,1,0,0,17,40,15
70,Masina,d,UDI,4,"6,0","6,75",1,0,0 / 0,0,0,0,0,8,2,4
71,Deulofeu,a,UDI,5,"6,3","6,7",0,0,0 / 0,0,2,0,0,24,80,4
72,Zambo Anguissa,c,NAP,5,"6,4","6,7",0,0,0 / 0,0,2,1,0,14,20,2
73,Elmas,c,NAP,5,"6,1","6,7",1,0,0 / 0,0,0,0,0,13,14,2
74,Vilhena,c,SAL,5,"6,0","6,7",1,0,0 / 0,0,1,1,0,10,20,10
75,Amrabat,c,FIO,3,"6,83","6,67",0,0,0 / 0,0,0,1,0,10,20,11
76,Mandragora,c,FIO,4,"5,88","6,62",1,0,0 / 0,0,0,0,0,11,10,11
77,Caputo,a,SAM,5,"6,0","6,6",1,0,0 / 0,0,0,0,0,20,69,18
78,Sottil,c,FIO,5,"6,3","6,6",0,0,0 / 0,0,2,1,0,11,37,11
79,Frattesi,c,SAS,5,"6,2","6,6",1,0,0 / 0,0,0,2,0,17,46,12
80,Hernandez T.,d,MIL,5,"6,3","6,6",1,0,1 / 1,0,0,3,0,20,84,3
81,Miretti,c,JUV,5,"6,4","6,6",0,0,0 / 0,0,1,0,0,7,26,7
82,Ceesay,a,LEC,5,"6,0","6,6",1,0,0 / 0,0,0,0,0,12,35,17
83,Zaccagni,c,LAZ,5,"6,1","6,5",1,0,0 / 0,0,0,2,0,20,66,9
84,Cristante,c,ROM,5,"6,0","6,5",1,0,0 / 0,0,0,1,0,11,19,5
85,Pinamonti,a,SAS,5,"5,9","6,5",1,0,0 / 0,0,0,0,0,22,120,12
86,Satriano,a,EMP,5,"6,0","6,5",1,0,0 / 0,0,0,1,0,14,20,15
87,Ostigard,d,NAP,1,"6,5","6,5",0,0,0 / 0,0,0,0,0,6,10,2
88,Lauriente',a,SAS,1,"6,5","6,5",0,0,0 / 0,0,0,0,0,14,30,12
89,Banda,a,LEC,5,"6,3","6,4",0,0,0 / 0,0,1,1,0,8,20,17
90,Dessers,a,CRE,5,"6,3","6,4",0,0,0 / 0,0,1,1,0,16,48,19
91,Bianchetti,d,CRE,4,"5,75","6,38",1,0,0 / 0,0,0,1,0,5,8,19
92,Demiral,d,ATA,4,"6,38","6,38",0,0,0 / 0,0,0,0,0,13,32,1
93,Botheim,a,SAL,4,"5,75","6,38",1,0,0 / 0,0,0,1,0,13,15,10
94,El Shaarawy,c,ROM,3,"6,33","6,33",0,0,0 / 0,0,0,0,0,9,21,5
95,Pellegri,a,TOR,3,"6,0","6,33",0,0,0 / 0,0,1,0,0,11,14,6
96,Maehle,d,ATA,3,"6,0","6,33",0,0,0 / 0,0,1,0,0,9,10,1
97,Lazovic,c,VER,5,"6,1","6,3",0,0,0 / 0,0,1,0,0,13,30,13
98,Brozovic,c,INT,5,"6,0","6,3",1,0,0 / 0,0,0,3,0,14,38,8
99,Candreva,c,SAL,5,"6,3","6,3",0,0,0 / 0,0,0,0,0,17,35,10
100,Romagnoli,d,LAZ,5,"6,3","6,3",0,0,0 / 0,0,0,0,0,12,20,9
101,Pellegrini Lo.,c,ROM,5,"6,0","6,3",0,0,0 / 0,0,2,1,0,24,95,5
102,Rodriguez R.,d,TOR,5,"6,3","6,3",0,0,0 / 0,0,0,0,0,10,13,6
103,Calabria,d,MIL,4,"6,12","6,25",0,0,0 / 0,0,1,1,0,13,24,3
104,Pasalic,c,ATA,4,"6,12","6,25",0,0,0 / 0,0,1,1,0,20,60,1
105,Darmian,d,INT,4,"5,88","6,25",0,0,0 / 0,0,2,1,0,10,16,8
106,Terzic,d,FIO,2,"6,25","6,25",0,0,0 / 0,0,0,0,0,3,3,11
107,Rrahmani,d,NAP,4,"6,25","6,25",0,0,0 / 0,0,0,0,0,14,30,2
108,Coulibaly L.,c,SAL,4,"6,25","6,25",0,0,0 / 0,0,1,2,0,8,14,10
109,Schuurs,d,TOR,2,"6,5","6,25",0,0,0 / 0,0,0,1,0,9,20,6
110,Lasagna,a,VER,5,"5,6","6,2",1,0,0 / 0,0,0,0,0,12,30,13
111,Rincon,c,SAM,5,"5,9","6,2",0,0,0 / 0,0,2,1,0,7,10,18
112,Soriano,c,BOL,5,"6,0","6,2",0,0,0 / 0,0,1,0,0,12,17,16
113,Di Lorenzo,d,NAP,5,"6,1","6,2",0,0,0 / 0,0,1,1,0,14,42,2
114,Danilo,d,JUV,5,"6,3","6,2",0,0,0 / 0,0,0,1,0,13,30,7
115,Kyriakopoulos,d,SAS,5,"6,0","6,2",0,0,0 / 0,0,1,0,0,8,14,12
116,Arslan,c,UDI,3,"6,17","6,17",0,0,0 / 0,0,0,0,0,6,6,4
117,Ederson D.s.,c,ATA,3,"6,17","6,17",0,0,0 / 0,0,0,0,0,12,36,1
118,Bijol,d,UDI,3,"6,17","6,17",0,0,0 / 0,0,0,0,0,6,14,4
119,Mario Rui,d,NAP,4,"6,25","6,12",0,0,0 / 0,0,0,1,0,8,19,2
120,Milenkovic,d,FIO,4,"6,12","6,12",0,0,0 / 0,0,0,0,0,11,30,11
121,Tonali,c,MIL,4,"6,12","6,12",0,0,0 / 0,0,1,2,0,15,45,3
122,Kalulu,d,MIL,4,"6,12","6,12",0,0,0 / 0,0,0,0,0,13,34,3
123,Erlic,d,SAS,4,"6,12","6,12",0,0,0 / 0,0,0,0,0,9,17,12
124,Kasius,d,BOL,4,"5,88","6,12",0,0,0 / 0,0,1,0,0,4,10,16
125,Terracciano F.,c,VER,4,"6,12","6,12",0,0,0 / 0,0,0,0,0,3,5,13
126,Valeri,d,CRE,4,"6,12","6,12",0,0,0 / 0,0,0,0,0,7,15,19
127,Buonaiuto,a,CRE,4,"6,12","6,12",0,0,0 / 0,0,0,0,0,8,7,19
128,Patric,d,LAZ,5,"6,1","6,1",0,0,0 / 0,0,0,0,0,8,14,9
129,Djidji,d,TOR,5,"6,1","6,1",0,0,0 / 0,0,0,0,0,6,9,6
130,Maignan,p,MIL,5,"6,5","6,1",0,5,0 / 0,1,0,0,0,19,91,3
131,Lozano,a,NAP,5,"5,9","6,1",0,0,0 / 0,0,1,0,0,17,52,2
132,Kostic,c,JUV,5,"6,0","6,1",0,0,0 / 0,0,1,1,0,14,43,7
133,Baschirotto,d,LEC,5,"6,2","6,1",0,0,0 / 0,0,0,1,0,5,11,17
134,Hjulmand,c,LEC,5,"6,3","6,1",0,0,0 / 0,0,0,3,0,7,12,17
135,De Ketelaere,c,MIL,5,"6,0","6,1",0,0,0 / 0,0,1,1,0,20,90,3
136,D'alessandro,c,MON,2,"6,0","6,0",0,0,0 / 0,0,0,0,0,2,8,20
137,De Roon,c,ATA,5,"6,2","6,0",0,0,0 / 0,0,0,2,0,8,10,1
138,Grassi,c,EMP,3,"6,0","6,0",0,0,0 / 0,0,0,0,0,7,10,15
139,Hysaj,d,LAZ,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,5,8,9
140,Ghiglione,d,CRE,4,"5,88","6,0",0,0,0 / 0,0,1,1,0,7,8,19
141,Biraghi,d,FIO,3,"6,0","6,0",0,0,0 / 0,0,0,0,0,12,37,11
142,D'ambrosio,d,INT,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,7,10,8
143,Dimarco,d,INT,5,"6,0","6,0",0,0,0 / 0,0,0,0,0,9,28,8
144,Medel,d,BOL,5,"5,9","6,0",0,0,0 / 0,0,1,1,0,8,12,16
145,Bonucci,d,JUV,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,13,28,7
146,Rugani,d,JUV,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,4,8,7
147,Meret,p,NAP,5,"6,2","6,0",0,4,0 / 0,1,0,0,0,16,50,2
148,Baez,c,CRE,2,"6,0","6,0",0,0,0 / 0,0,0,0,0,4,7,19
149,Djimsiti,d,ATA,2,"6,25","6,0",0,0,0 / 0,0,0,1,0,6,4,1
150,Di Francesco F.,a,LEC,5,"5,8","6,0",0,0,0 / 0,0,1,0,0,11,13,17
151,Murru,d,SAM,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,4,6,18
152,Pjaca,a,EMP,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,9,16,15
153,Nuytinck,d,UDI,4,"6,0","6,0",0,0,0 / 0,0,0,0,0,7,8,4
154,Mancini,d,ROM,5,"6,0","6,0",0,0,0 / 0,0,0,0,0,10,20,5
155,Rabiot,c,JUV,3,"6,0","6,0",0,0,0 / 0,0,0,0,0,7,10,7
156,Origi,a,MIL,2,"6,0","6,0",0,0,0 / 0,0,0,0,0,15,46,3
157,Mkhitaryan,c,INT,2,"6,0","6,0",0,0,0 / 0,0,0,0,0,14,38,8
158,Kjaer,d,MIL,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,4,10,3
159,Buongiorno,d,TOR,4,"6,25","6,0",0,0,0 / 0,0,0,2,0,5,8,6
160,Piatek,a,SAL,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,15,36,10
161,Bremer,d,JUV,5,"6,0","6,0",0,0,0 / 0,0,0,0,0,17,53,7
162,Bourabia,c,SPE,5,"6,0","6,0",0,0,0 / 0,0,0,0,0,6,8,14
163,Boga,a,ATA,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,11,13,1
164,Gonzalez N.,a,FIO,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,18,54,11
165,Cambiaghi,a,EMP,2,"6,0","6,0",0,0,0 / 0,0,0,0,0,5,10,15
166,Kumbulla,d,ROM,2,"6,0","6,0",0,0,0 / 0,0,0,0,0,4,8,5
167,Henderson L.,c,EMP,5,"5,9","6,0",0,0,0 / 0,0,1,1,0,8,13,15
168,Lopez M.,c,SAS,4,"6,12","6,0",0,0,0 / 0,0,0,1,0,8,16,12
169,Askildsen,c,LEC,2,"6,0","6,0",0,0,0 / 0,0,0,0,0,2,3,17
170,Tuia,d,LEC,2,"6,0","6,0",0,0,0 / 0,0,0,0,0,4,4,17
171,Maggiore,c,SAL,4,"6,0","6,0",0,0,0 / 0,0,0,0,0,10,24,10
172,Ismajli,d,EMP,5,"6,0","6,0",0,0,0 / 0,0,0,0,0,6,8,15
173,Ballo-Toure',d,MIL,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,2,2,3
174,Pobega,c,MIL,2,"6,0","6,0",0,0,0 / 0,0,0,0,0,8,12,3
175,Shomurodov,a,ROM,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,10,10,5
176,Makengo,c,UDI,5,"6,0","6,0",0,0,0 / 0,0,1,2,0,9,16,4
177,Zalewski,c,ROM,4,"6,0","6,0",0,0,0 / 0,0,0,0,0,8,12,5
178,Ebuehi,d,EMP,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,3,4,15
179,Scalvini,d,ATA,3,"6,17","6,0",0,0,0 / 0,0,0,1,0,6,8,1
180,Daniliuc,d,SAL,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,7,16,10
181,Pongracic,d,LEC,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,6,11,17
182,Soppy,d,ATA,4,"6,0","6,0",0,0,0 / 0,0,1,2,0,7,17,1
183,Harroui,c,SAS,2,"6,0","6,0",0,0,0 / 0,0,0,0,0,3,4,12
184,Strelec,a,SPE,4,"6,0","6,0",0,0,0 / 0,0,0,0,0,7,10,14
185,Asllani,c,INT,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,7,13,8
186,De Winter,d,EMP,2,"6,0","6,0",0,0,0 / 0,0,0,0,0,4,6,15
187,Ceide,c,SAS,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,2,8,12
188,Seck,a,TOR,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,3,4,6
189,Gatti,d,JUV,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,4,10,7
190,Olivera,d,NAP,2,"6,0","6,0",0,0,0 / 0,0,0,0,0,6,8,2
191,Castagnetti,c,CRE,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,3,1,19
192,Rodriguez P.,a,LEC,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,2,1,17
193,Ranocchia F.,c,MON,2,"6,0","6,0",0,0,0 / 0,0,0,0,0,3,4,20
194,Dodo',d,FIO,4,"6,0","6,0",0,0,0 / 0,0,0,0,0,13,30,11
195,Quagliata,d,CRE,3,"6,0","6,0",0,0,0 / 0,0,0,0,0,3,7,19
196,Ebosse,d,UDI,2,"6,0","6,0",0,0,0 / 0,0,0,0,0,4,4,4
197,Zerbin,c,NAP,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,1,2,2
198,Ellertsson,c,SPE,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,2,1,14
199,Lochoshvili,d,CRE,3,"6,0","6,0",0,0,0 / 0,0,0,0,0,5,10,19
200,Hien,d,VER,3,"6,17","6,0",0,0,0 / 0,0,0,1,0,7,14,13
201,Spinazzola,d,ROM,5,"5,9","5,9",0,0,0 / 0,0,0,0,0,11,24,5
202,Fazio,d,SAL,5,"5,9","5,9",0,0,0 / 0,0,0,0,0,7,10,10
203,Bandinelli,c,EMP,5,"6,0","5,9",0,0,0 / 0,0,0,1,0,6,10,15
204,Lazzari,d,LAZ,5,"6,1","5,9",0,0,0 / 0,0,0,2,0,10,26,9
205,Walace,c,UDI,5,"6,0","5,9",0,0,0 / 0,0,0,1,0,8,9,4
206,Zanimacchia,a,CRE,5,"6,0","5,9",0,0,0 / 0,0,0,1,0,10,11,19
207,Toljan,d,SAS,5,"5,8","5,9",0,0,0 / 0,0,1,1,0,6,12,12
208,Tomori,d,MIL,5,"5,9","5,9",0,0,0 / 0,0,0,0,0,14,36,3
209,Dominguez,c,BOL,5,"6,0","5,9",0,0,0 / 0,0,0,1,0,8,12,16
210,Gendrey,d,LEC,5,"6,0","5,9",0,0,0 / 0,0,0,1,0,5,8,17
211,Gonzalez J.,c,LEC,5,"6,1","5,9",0,0,0 / 0,0,0,2,0,4,13,17
212,Berardi,a,SAS,4,"6,0","5,88",1,0,0 / 1,0,0,1,0,31,230,12
213,Zapata D.,a,ATA,4,"5,88","5,88",0,0,0 / 0,0,0,0,0,28,220,1
214,Barak,c,FIO,4,"5,88","5,88",0,0,0 / 0,0,0,0,0,20,45,11
215,Lykogiannis,d,BOL,4,"5,88","5,88",0,0,0 / 0,0,0,0,0,5,6,16
216,Ascacibar,c,CRE,4,"5,88","5,88",0,0,0 / 0,0,0,0,0,6,8,19
217,Listkowski,c,LEC,4,"5,88","5,88",0,0,0 / 0,0,0,0,0,4,2,17
218,Vecino,c,LAZ,3,"5,83","5,83",0,0,0 / 0,0,0,0,0,5,10,9
219,Sansone,a,BOL,3,"6,0","5,83",0,0,0 / 0,0,0,1,0,6,10,16
220,Sala,d,SPE,3,"5,83","5,83",0,0,0 / 0,0,0,1,0,5,8,14
221,Chiriches,d,CRE,3,"6,0","5,83",0,0,0 / 0,0,0,1,0,5,10,19
222,Lukic,c,TOR,3,"5,83","5,83",0,0,0 / 0,0,0,0,0,12,28,6
223,Lazaro,d,TOR,3,"5,83","5,83",0,0,0 / 0,0,0,0,0,6,7,6
224,Zortea,d,ATA,3,"6,0","5,83",0,0,0 / 0,0,0,1,0,3,4,1
225,Celik,d,ROM,3,"6,0","5,83",0,0,0 / 0,0,0,1,0,7,9,5
226,Kovalenko,c,SPE,3,"5,83","5,83",0,0,0 / 0,0,0,0,0,8,12,14
227,Basic,c,LAZ,3,"6,0","5,83",0,0,0 / 0,0,0,1,0,5,8,9
228,Blin,c,LEC,3,"6,0","5,83",0,0,0 / 0,0,0,1,0,3,6,17
229,Lucumi',d,BOL,3,"5,83","5,83",0,0,0 / 0,0,0,0,0,9,19,16
230,De Sciglio,d,JUV,5,"5,8","5,8",0,0,0 / 0,0,0,0,0,6,9,7
231,Linetty,c,TOR,5,"5,9","5,8",0,0,0 / 0,0,0,1,0,6,10,6
232,Matic,c,ROM,5,"5,9","5,8",0,0,0 / 0,0,0,1,0,7,8,5
233,Reca,d,SPE,5,"5,9","5,8",0,0,0 / 0,0,0,1,0,6,12,14
234,Colley,d,SAM,5,"5,9","5,8",0,0,0 / 0,0,0,1,0,9,16,18
235,Musso,p,ATA,5,"6,3","5,8",0,2,0 / 0,0,0,1,0,15,37,1
236,Vieira,c,SAM,5,"5,8","5,8",0,0,0 / 0,0,0,0,0,5,7,18
237,Tameze,c,VER,5,"5,8","5,8",0,0,0 / 0,0,0,0,0,13,20,13
238,Matheus Henrique,c,SAS,5,"6,0","5,8",0,0,0 / 0,0,0,2,0,7,10,12
239,Success,a,UDI,5,"5,8","5,8",0,0,0 / 0,0,0,0,0,13,21,4
240,Kiwior,d,SPE,5,"5,8","5,8",0,0,0 / 0,0,0,0,0,6,12,14
241,Pickel,c,CRE,5,"5,8","5,8",0,0,0 / 0,0,0,0,0,5,8,19
242,Alex Sandro,d,JUV,4,"5,75","5,75",0,0,0 / 0,0,1,2,0,7,14,7
243,Haas,c,EMP,4,"5,75","5,75",0,0,0 / 0,0,0,0,0,5,5,15
244,Zakaria,c,JUV,2,"5,75","5,75",0,0,0 / 0,0,0,0,0,10,0,7
245,Gunter,d,VER,4,"5,62","5,75",0,0,0 / 0,0,1,1,0,6,10,13
246,Gallo,d,LEC,4,"5,75","5,75",0,0,0 / 0,0,0,0,0,2,3,17
247,Coppola D.,d,VER,4,"5,88","5,75",0,0,0 / 0,0,0,1,0,3,7,13
248,Aebischer,c,BOL,2,"6,0","5,75",0,0,0 / 0,0,0,1,0,4,5,16
249,Marcos Antonio,c,LAZ,2,"6,0","5,75",0,0,0 / 0,0,0,1,0,9,12,9
250,Valencia D.,a,SAL,2,"5,75","5,75",0,0,0 / 0,0,0,0,0,2,3,10
251,Adli,c,MIL,2,"6,0","5,75",0,0,0 / 0,0,0,1,0,6,10,3
252,Gytkjaer,a,MON,2,"5,75","5,75",0,0,0 / 0,0,0,0,0,4,8,20
253,De Vrij,d,INT,5,"5,7","5,7",0,0,0 / 0,0,0,0,0,9,20,8
254,Quagliarella,a,SAM,5,"5,8","5,7",0,0,0 / 0,0,0,1,0,9,15,18
255,Cuadrado,c,JUV,5,"5,7","5,7",0,0,0 / 0,0,0,0,0,13,30,7
256,Skriniar,d,INT,5,"5,7","5,7",0,0,0 / 0,0,0,0,0,15,49,8
257,Ferrari G.,d,SAS,5,"6,0","5,7",0,0,0 / 0,0,0,3,0,7,15,12
258,Djuricic,c,SAM,5,"5,8","5,7",0,0,0 / 0,0,0,1,0,10,25,18
259,Rogerio,d,SAS,5,"5,8","5,7",0,0,0 / 0,0,0,1,0,5,12,12
260,Agudelo,c,SPE,5,"5,7","5,7",0,0,0 / 0,0,0,0,0,9,11,14
261,Saelemaekers,c,MIL,5,"5,8","5,7",0,0,0 / 0,0,0,1,0,8,12,3
262,Ilic,c,VER,5,"5,8","5,7",0,0,0 / 0,0,0,1,0,11,24,13
263,Bronn,d,SAL,5,"5,8","5,7",0,0,0 / 0,0,0,1,0,5,6,10
264,Destro,a,EMP,3,"5,67","5,67",0,0,0 / 0,0,0,0,0,15,20,15
265,Muriel,a,ATA,3,"5,67","5,67",0,0,0 / 0,0,0,0,0,23,70,1
266,Faraoni,d,VER,3,"5,5","5,67",0,0,0 / 0,0,1,1,0,11,28,13
267,Miguel Veloso,c,VER,3,"5,83","5,67",0,0,0 / 0,0,0,1,0,5,9,13
268,Kastanos,c,SAL,3,"6,0","5,67",0,0,0 / 0,0,0,2,0,4,7,10
269,Gosens,d,INT,3,"5,67","5,67",0,0,0 / 0,0,0,0,0,17,51,8
270,Igor,d,FIO,3,"5,83","5,67",0,0,0 / 0,0,0,1,0,8,18,11
271,Okoli,d,ATA,3,"5,83","5,67",0,0,0 / 0,0,0,1,0,4,14,1
272,Singo,d,TOR,3,"5,83","5,67",0,0,0 / 0,0,0,1,0,12,33,6
273,Holm,d,SPE,3,"6,0","5,67",0,0,0 / 0,0,0,2,0,2,4,14
274,Helgason,c,LEC,3,"5,67","5,67",0,0,0 / 0,0,0,0,0,2,3,17
275,Hateboer,d,ATA,4,"5,88","5,62",0,0,0 / 0,0,0,2,0,8,14,1
276,Hristov,d,SPE,4,"5,62","5,62",0,0,0 / 0,0,0,0,0,4,6,14
277,Raspadori,a,NAP,4,"5,75","5,62",0,0,0 / 0,0,0,1,0,18,70,2
278,Villar,c,SAM,4,"5,62","5,62",0,0,0 / 0,0,0,0,0,7,9,18
279,Mckennie,c,JUV,4,"5,62","5,62",0,0,0 / 0,0,0,0,0,10,10,7
280,Carlos Augusto,d,MON,4,"5,62","5,62",0,0,0 / 0,0,0,0,0,7,15,20
281,Bistrovic,c,LEC,4,"5,62","5,62",0,0,0 / 0,0,0,0,0,5,8,17
