,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni,QA,ExpectedCost_1000,Classifica
0,Miranchuk,c,TOR,1,"7,0","10,0",1,0,0 / 0,0,0,0,0,8,30,6
1,Vlahovic,a,JUV,4,"6,75","9,75",4,0,1 / 1,0,0,0,0,40,390,7
2,Dia,a,SAL,4,"6,75","9,5",3,0,0 / 0,0,2,0,0,20,71,10
3,Arnautovic,a,BOL,5,"6,6","9,4",5,0,2 / 2,0,0,2,0,31,210,16
4,Kvaratskhelia,c,NAP,5,"6,8","9,4",4,0,0 / 0,0,1,0,0,22,150,2
5,Rebic,a,MIL,2,"6,5","9,25",2,0,0 / 0,0,0,1,0,14,41,3
6,Koopmeiners,c,ATA,5,"6,6","8,9",4,0,2 / 2,0,0,1,0,19,50,1
7,Rafael Leao,a,MIL,5,"6,7","8,8",3,0,0 / 0,0,2,1,0,33,243,3
8,Doig,d,VER,2,"6,75","8,75",1,0,0 / 0,0,1,0,0,9,15,13
9,Milik,a,JUV,3,"6,67","8,67",2,0,0 / 0,0,0,0,0,23,83,7
10,Martinez L.,a,INT,5,"6,5","8,5",3,0,0 / 0,0,1,0,0,35,340,8
11,Vlasic,c,TOR,5,"6,5","8,2",3,0,0 / 0,0,0,1,0,19,52,6
12,Correa,a,INT,4,"6,25","8,0",2,0,0 / 0,0,1,0,0,19,35,8
13,Samardzic,c,UDI,2,"6,5","8,0",1,0,0 / 0,0,0,0,0,10,12,4
14,Kallon,a,VER,2,"6,5","8,0",1,0,0 / 0,0,0,0,0,4,5,13
15,Baldanzi,c,EMP,2,"6,5","8,0",1,0,0 / 0,0,0,0,0,4,12,15
16,Hojlund,a,ATA,2,"6,5","8,0",1,0,0 / 0,0,0,0,0,10,10,1
17,Dybala,a,ROM,5,"6,6","7,9",2,0,0 / 0,0,1,1,0,30,210,5
18,Udogie,d,UDI,4,"6,62","7,75",2,0,0 / 0,0,0,3,0,16,52,4
19,Zielinski,c,NAP,5,"6,5","7,7",1,0,0 / 0,0,3,0,0,22,87,2
20,Di Maria,a,JUV,3,"6,33","7,67",1,0,0 / 0,0,1,0,0,26,95,7
21,Kouame',a,FIO,4,"6,62","7,62",1,0,0 / 0,0,1,0,0,12,22,11
22,Giroud,a,MIL,5,"6,3","7,6",2,0,0 / 0,0,1,1,0,29,180,3
23,Beto,a,UDI,5,"6,4","7,6",2,0,0 / 0,0,0,0,0,26,110,4
24,Kim,d,NAP,5,"6,5","7,6",2,0,0 / 0,0,0,1,0,15,38,2
25,Lukaku,a,INT,3,"6,17","7,5",1,0,0 / 0,0,1,0,0,36,360,8
26,Osimhen,a,NAP,5,"6,2","7,5",2,0,0 / 0,0,1,1,0,33,350,2
27,Bastoni S.,d,SPE,5,"6,3","7,5",2,0,0 / 0,0,1,2,0,14,35,14
28,Immobile,a,LAZ,5,"6,2","7,4",2,0,0 / 0,0,1,2,0,39,395,9
29,Lobotka,c,NAP,5,"6,6","7,4",1,0,0 / 0,0,1,0,0,14,29,2
30,Radonjic,c,TOR,5,"6,6","7,4",1,0,0 / 0,0,1,0,0,12,38,6
31,Pedro,a,LAZ,4,"6,38","7,38",1,0,0 / 0,0,1,0,0,20,52,9
32,Bonaventura,c,FIO,3,"6,33","7,33",1,0,0 / 0,0,0,0,0,14,39,11
33,Pereyra,c,UDI,5,"6,4","7,3",1,0,0 / 0,0,2,1,0,20,57,4
34,Lookman,a,ATA,5,"6,5","7,3",1,0,0 / 0,0,1,0,0,15,28,1
