,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni,QA,ExpectedCost_1000,Classifica
0,Lukaku,a,INT,35,"6,64","8,9",24,0,6 / 6,0,9,4,0,43,-,2
1,Muriel,a,ATA,32,"6,62","8,88",22,0,2 / 3,0,9,0,0,43,-,8
2,Ronaldo,a,JUV,33,"6,33","8,80",29,0,6 / 8,0,2,3,0,42,-,4
3,Berardi,a,SAS,30,"6,57","8,33",17,0,7 / 8,0,7,4,0,38,-,11
4,Ibrahimovic,a,MIL,18,"6,33","8,33",15,0,3 / 6,0,2,2,1,29,-,1
5,Insigne,a,NAP,35,"6,44","8,13",19,0,7 / 8,0,7,2,1,36,-,3
6,Gomez,c,ATA,10,"6,65","8,05",4,0,0 / 0,0,2,0,0,26,-,8
7,Vlahovic,a,FIO,36,"6,18","7,97",21,0,6 / 6,0,2,1,0,34,-,7
8,Martinez L.,a,INT,38,"6,45","7,86",17,0,2 / 2,0,5,5,0,32,-,2
9,Zapata D.,a,ATA,37,"6,32","7,78",15,0,1 / 1,0,9,0,0,32,-,8
10,Mkhitaryan,c,ROM,34,"6,29","7,71",13,0,1 / 1,0,10,2,0,30,-,6
11,Simy,a,CRO,37,"6,04","7,70",20,0,8 / 8,0,2,1,0,31,-,
12,Immobile,a,LAZ,35,"6,16","7,63",20,0,4 / 8,0,6,3,1,32,-,5
13,Caputo,a,SAS,24,"6,10","7,62",11,0,3 / 3,0,4,1,0,27,-,11
14,Belotti,a,TOR,34,"6,40","7,57",13,0,4 / 5,0,6,4,0,30,-,10
15,Osimhen,a,NAP,24,"6,31","7,56",10,0,0 / 0,0,2,4,0,28,-,3
16,Nzola,a,SPE,25,"6,14","7,48",11,0,4 / 4,0,3,5,0,24,-,16
17,Joao Pedro,a,CAG,37,"6,19","7,43",16,0,4 / 5,0,3,4,0,27,-,18
18,De Paul,c,UDI,36,"6,49","7,42",9,0,3 / 3,0,10,3,2,27,-,12
19,Malinovskyi,c,ATA,32,"6,34","7,39",8,0,1 / 1,0,11,3,0,27,-,8
20,Vecino,c,INT,4,"6,38","7,38",1,0,0 / 0,0,1,0,0,8,-,2
21,Chiesa,c,JUV,30,"6,4","7,38",9,0,0 / 0,0,5,3,1,26,-,4
22,Rebic,a,MIL,27,"6,11","7,37",11,0,0 / 0,0,4,4,1,25,-,1
23,Morata,a,JUV,30,"6,12","7,37",11,0,1 / 1,0,7,3,1,27,-,4
24,Mayoral,a,ROM,23,"5,96","7,37",10,0,0 / 0,0,3,1,0,26,-,6
25,Kessie',c,MIL,37,"6,46","7,35",13,0,11 / 13,0,4,8,0,27,-,1
26,Mertens,a,NAP,27,"6,11","7,33",9,0,0 / 0,0,7,2,0,28,-,3
27,Gosens,d,ATA,32,"6,31","7,33",11,0,0 / 0,0,6,7,1,25,-,8
28,Lozano,a,NAP,32,"6,30","7,33",11,0,0 / 0,0,3,6,0,27,-,3
29,Veretout,c,ROM,28,"6,25","7,29",10,0,5 / 5,0,1,4,0,23,-,6
30,Destro,a,GEN,25,"6,02","7,28",11,0,0 / 0,0,1,5,0,25,-,19
31,Quagliarella,a,SAM,32,"6,11","7,25",13,0,2 / 3,0,1,1,0,25,-,15
32,Sanchez,a,INT,26,"6,33","7,25",7,0,0 / 1,0,6,0,0,26,-,2
33,Milinkovic-Savic,c,LAZ,32,"6,27","7,20",8,0,0 / 0,0,7,4,0,24,-,5
34,Caicedo,a,LAZ,21,"6,17","7,19",8,0,1 / 1,0,0,5,0,18,-,5
35,Zielinski,c,NAP,36,"6,29","7,18",8,0,0 / 0,0,9,2,0,26,-,3
36,Ilicic,a,ATA,28,"6,25","7,18",6,0,2 / 2,0,9,2,0,23,-,8
37,Verde,a,SPE,19,"6,18","7,18",6,0,0 / 0,0,1,0,0,21,-,16
38,Hakimi,d,INT,35,"6,41","7,16",7,0,0 / 0,0,8,6,0,26,-,2
39,Piccoli,a,SPE,14,"6,04","7,11",5,0,0 / 0,0,0,0,0,13,-,16
40,Scamacca,a,GEN,26,"6,17","7,08",8,0,2 / 2,0,2,1,0,20,-,19
41,Raspadori,a,SAS,20,"6,2","7,08",6,0,0 / 0,0,0,1,0,16,-,11
42,D'ambrosio,d,INT,8,"6,0","7,06",3,0,0 / 0,0,0,2,0,9,-,2
43,Viola,c,BEN,17,"6,15","7,06",5,0,4 / 4,0,1,1,0,20,-,
44,Ounas,a,CRO,20,"6,28","7,05",4,0,0 / 0,0,4,1,0,21,-,
