,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni,QA,ExpectedCost_1000
169,Siligardi,a,PAR,6,"6,0","6,17",0,0,0 / 0,0,1,0,0,4,-
170,Dzemaili,c,BOL,12,"5,92","6,17",1,0,0 / 0,0,1,2,0,8,-
171,Nestorovski,a,UDI,21,"5,79","6,17",3,0,0 / 0,0,1,4,0,7,-
172,Bentancur,c,JUV,29,"6,09","6,17",0,0,0 / 0,0,7,9,0,11,-
173,Tameze,c,ATA,3,"6,17","6,17",0,0,0 / 0,0,0,0,0,3,-
174,Zielinski,c,NAP,36,"5,96","6,15",2,0,0 / 0,0,3,4,0,12,-
175,Poli,c,BOL,27,"6,02","6,15",2,0,0 / 0,0,0,5,0,7,-
176,Pinamonti,a,GEN,30,"5,73","6,15",5,0,1 / 2,0,1,1,0,9,-
177,Pussetto,a,UDI,10,"5,9","6,15",1,0,0 / 0,0,0,1,0,7,-
178,Farias,a,LEC,18,"5,92","6,14",2,0,0 / 0,0,0,2,1,5,-
179,Rog,c,CAG,29,"6,17","6,14",1,0,0 / 0,0,1,10,0,8,-
180,Valoti,c,SPA,25,"5,88","6,14",3,0,0 / 0,0,1,7,0,7,-
181,Stryger Larsen,d,UDI,33,"6,03","6,14",1,0,0 / 0,0,3,5,0,11,-
182,Kumbulla,d,VER,25,"6,16","6,14",1,0,0 / 0,0,0,5,1,6,-
183,De Roon,c,ATA,34,"6,04","6,13",2,0,0 / 0,0,5,12,0,10,-
184,Bani,d,BOL,27,"5,91","6,13",4,0,0 / 0,0,0,10,1,9,-
185,Castro,c,SPA,21,"5,88","6,12",2,0,0 / 0,0,0,2,0,8,-
186,Iago Falque,a,GEN,13,"5,88","6,12",2,0,2 / 3,0,0,0,0,4,-
187,Benassi,c,FIO,16,"5,88","6,12",1,0,0 / 0,0,1,1,0,4,-
188,Lazzari,c,LAZ,32,"6,16","6,12",0,0,0 / 0,0,2,6,0,11,-
189,Pezzella Ger.,d,FIO,32,"6,03","6,12",3,0,0 / 0,0,0,12,0,10,-
190,Godin,d,INT,20,"6,05","6,12",1,0,0 / 0,0,1,5,0,7,-
191,Kurtic,c,PAR,36,"5,89","6,11",4,0,0 / 0,0,1,10,0,11,-
192,Svanberg,c,BOL,18,"5,94","6,11",1,0,0 / 0,0,1,2,0,6,-
193,Kessie',c,MIL,35,"5,8","6,1",4,0,2 / 2,0,0,3,0,11,-
194,Jagiello,c,GEN,10,"5,9","6,1",0,0,0 / 0,0,2,0,0,4,-
195,Lukaku J.,d,LAZ,11,"6,0","6,09",0,0,0 / 0,0,2,2,0,3,-
196,Bremer,d,TOR,27,"5,87","6,09",3,0,0 / 0,0,0,2,2,8,-
197,Augello,d,SAM,16,"6,03","6,09",0,0,0 / 0,0,2,2,0,6,-
198,Diawara,c,ROM,20,"6,02","6,08",1,0,1 / 1,0,0,4,0,7,-
199,Jankto,c,SAM,30,"5,88","6,08",2,0,0 / 0,0,4,8,0,10,-
200,Bastoni,d,INT,25,"6,02","6,08",2,0,0 / 0,0,0,7,1,7,-
201,Palomino,d,ATA,30,"6,0","6,08",2,0,0 / 0,0,1,5,0,8,-
202,Leris,c,SAM,13,"5,85","6,08",1,0,0 / 0,0,0,0,0,4,-
203,Lobotka,c,NAP,13,"6,08","6,08",0,0,0 / 0,0,0,0,0,8,-
204,Sema,c,UDI,30,"5,95","6,08",2,0,0 / 0,0,1,6,0,9,-
205,Saelemaekers,c,MIL,12,"6,0","6,08",1,0,0 / 0,0,0,2,1,7,-
206,Ceppitelli,d,CAG,15,"5,97","6,07",2,0,0 / 0,0,0,5,0,5,-
207,Barella,c,INT,27,"6,06","6,07",1,0,0 / 0,0,3,11,0,8,-
208,Dominguez,c,BOL,14,"6,04","6,07",0,0,0 / 0,0,1,1,0,6,-
209,Romagnoli,d,MIL,35,"6,03","6,06",1,0,0 / 0,0,0,4,0,10,-
210,Pastore,c,ROM,8,"6,06","6,06",0,0,0 / 0,0,0,0,0,1,-
211,Soumaoro,d,GEN,8,"5,81","6,06",1,0,0 / 0,0,0,2,0,6,-
212,Elmas,c,NAP,19,"6,0","6,05",1,0,0 / 0,0,1,7,0,6,-
213,Grassi,c,PAR,14,"5,96","6,04",1,0,0 / 0,0,1,6,0,4,-
214,Demme,c,NAP,14,"6,04","6,04",1,0,0 / 0,0,0,6,0,7,-
215,Hysaj,d,NAP,19,"5,84","6,03",1,0,0 / 0,0,2,3,0,6,-
