,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni
233,Leo' Sena,c,SPE,15,"6,03","6,03",0,0,0 / 0,0,0,0,0
234,Gunter,d,VER,25,"6,02","6,02",0,0,0 / 0,0,2,4,0
235,Meite',c,MIL,26,"5,88","6,02",1,0,0 / 0,0,1,2,0
236,Agudelo,c,SPE,27,"5,91","6,02",1,0,0 / 0,0,2,4,0
237,Tameze,c,VER,32,"6,02","6,02",1,0,0 / 0,0,0,6,0
238,Kurtic,c,PAR,34,"5,74","6,01",4,0,0 / 0,0,0,5,0
239,Biraghi,d,FIO,35,"5,9","6,01",1,0,0 / 0,0,5,8,0
240,Mattiello,d,SPE,1,"6,0","6,0",0,0,0 / 0,0,0,0,0
241,Bessa,c,VER,13,"5,88","6,0",0,0,0 / 0,0,2,1,0
242,De Sciglio,d,JUV,1,"6,0","6,0",0,0,0 / 0,0,0,0,0
243,Ghoulam,d,NAP,8,"6,06","6,0",0,0,0 / 0,0,0,1,0
244,Kalinic,a,VER,17,"5,71","6,0",2,0,0 / 0,0,0,2,0
245,Festa,p,CRO,1,"7,0","6,0",0,1,0 / 0,0,0,0,0
246,Parigini,c,GEN,1,"6,0","6,0",0,0,0 / 0,0,0,0,0
247,Fazio,d,ROM,5,"5,6","6,0",1,0,0 / 0,0,0,2,0
248,Olivera M.,d,FIO,1,"6,0","6,0",0,0,0 / 0,0,0,0,0
249,Zajc,c,GEN,31,"5,87","6,0",1,0,0 / 0,0,3,4,0
250,Coulibaly M.,c,UDI,2,"6,0","6,0",0,0,0 / 0,0,0,0,0
251,Douglas Costa,c,JUV,1,"6,0","6,0",0,0,0 / 0,0,0,0,0
252,Calabresi,d,CAG,1,"6,0","6,0",0,0,0 / 0,0,0,0,0
253,Dalot,d,MIL,17,"5,88","6,0",1,0,0 / 0,0,1,4,0
254,Schiappacasse,a,SAS,1,"6,0","6,0",0,0,0 / 0,0,0,0,0
255,Millico,a,TOR,1,"6,0","6,0",0,0,0 / 0,0,0,0,0
256,Juwara,a,BOL,1,"6,0","6,0",0,0,0 / 0,0,0,1,0
257,Augello,d,SAM,37,"5,89","6,0",1,0,0 / 0,0,3,2,1
258,Fagioli,c,JUV,1,"6,0","6,0",0,0,0 / 0,0,0,0,0
259,Berardi A.,p,VER,1,"6,0","6,0",0,0,0 / 0,0,0,0,0
260,Duarte,d,MIL,1,"6,0","6,0",0,0,0 / 0,0,0,0,0
261,Soumaoro,d,BOL,20,"5,95","6,0",1,0,0 / 0,0,0,4,0
262,Gomelt,c,CRO,1,"6,0","6,0",0,0,0 / 0,0,0,0,0
263,Bartolomei,c,SPE,5,"5,9","6,0",0,0,0 / 0,0,1,1,0
264,Vulic,c,CRO,23,"5,87","6,0",1,0,0 / 0,0,1,2,0
265,Forestieri,a,UDI,17,"5,79","6,0",1,0,0 / 0,0,1,1,0
266,Gojak,c,TOR,11,"5,68","6,0",1,0,0 / 0,0,1,1,0
267,Pastina,d,BEN,3,"5,83","6,0",0,0,0 / 0,0,1,1,0
268,Zagaritis,d,PAR,2,"6,0","6,0",0,0,0 / 0,0,0,0,0
269,Camara D.,c,PAR,1,"6,0","6,0",0,0,0 / 0,0,0,0,0
270,Milenkovic,d,FIO,34,"5,85","5,99",3,0,0 / 0,0,0,7,1
271,Marusic,c,LAZ,36,"5,83","5,99",2,0,0 / 0,0,3,3,0
272,Romagnoli,d,MIL,22,"5,95","5,98",1,0,0 / 0,0,1,7,0
273,Ekdal,c,SAM,30,"5,9","5,98",2,0,0 / 0,0,1,9,0
274,Godin,d,CAG,28,"5,93","5,98",1,0,0 / 0,0,0,3,0
275,Lasagna,a,VER,34,"5,63","5,97",4,0,0 / 0,0,0,1,0
276,Toloi,d,ATA,31,"5,94","5,97",2,0,0 / 0,0,0,10,0
277,Samir,d,UDI,29,"5,97","5,97",1,0,0 / 0,0,0,6,0
278,Schouten,c,BOL,34,"6,0","5,97",1,0,0 / 0,0,1,8,1
279,Adrien Silva,c,SAM,23,"5,93","5,96",1,0,0 / 0,0,1,6,1
280,Smalling,d,ROM,14,"6,0","5,96",0,0,0 / 0,0,1,3,0
281,Hysaj,d,NAP,21,"5,95","5,95",0,0,0 / 0,0,1,2,0
282,Poli,c,BOL,10,"5,9","5,95",1,0,0 / 0,0,0,1,0
283,Agoume,c,SPE,10,"6,05","5,95",0,0,0 / 0,0,0,2,0
284,Zappa,d,CAG,31,"5,87","5,95",0,0,0 / 0,0,4,3,0
285,Caldirola,d,BEN,22,"5,80","5,95",2,0,0 / 0,0,0,3,1
286,Koulibaly,d,NAP,26,"6,13","5,94",0,0,0 / 0,0,0,8,1
287,El Shaarawy,a,ROM,9,"5,67","5,94",1,0,0 / 0,0,0,1,0
288,Sensi,c,INT,16,"6,03","5,94",0,0,0 / 0,0,0,1,1
289,Bereszynski,d,SAM,31,"5,87","5,94",1,0,0 / 0,0,0,2,0
290,Melegoni,c,GEN,9,"6,0","5,94",0,0,0 / 0,0,0,1,0
291,Riviere,a,CRO,14,"5,71","5,93",1,0,0 / 0,0,1,2,0
292,Mario Rui,d,NAP,24,"5,94","5,92",0,0,0 / 0,0,1,4,0
293,Rovella,c,GEN,18,"5,92","5,92",0,0,0 / 0,0,2,4,0
294,Ruegg,d,VER,6,"5,92","5,92",0,0,0 / 0,0,0,0,0
295,Medel,c,BOL,11,"5,86","5,91",0,0,0 / 0,0,1,1,0
296,Czyborra,d,GEN,17,"5,79","5,91",1,0,0 / 0,0,0,2,0
297,Ricci M.,c,SPE,28,"5,96","5,91",0,0,0 / 0,0,1,5,0
298,Hetemaj,c,BEN,29,"5,91","5,90",0,0,0 / 0,0,2,5,0
299,Caceres,d,FIO,26,"5,67","5,90",2,0,0 / 0,0,2,4,0
300,Bruno Peres,d,ROM,26,"5,83","5,90",1,0,0 / 0,0,2,6,0
301,Molina S.,c,CRO,29,"5,81","5,90",1,0,0 / 0,0,2,1,0
302,Udogie,d,VER,5,"6,0","5,9",0,0,0 / 0,0,0,1,0
303,Ghiglione,d,GEN,23,"5,80","5,89",0,0,0 / 0,0,4,4,0
304,Acerbi,d,LAZ,32,"6,0","5,89",0,0,0 / 0,0,1,7,1
305,Rog,c,CAG,14,"5,96","5,89",0,0,0 / 0,0,0,2,0
306,Ramirez,c,SAM,23,"5,87","5,89",0,0,0 / 0,0,3,5,0
307,Leris,c,SAM,9,"5,94","5,89",0,0,0 / 0,0,0,1,0
308,Villar,c,ROM,28,"5,98","5,89",0,0,0 / 0,0,1,7,0
309,Martinez Quarta,d,FIO,19,"5,89","5,89",1,0,0 / 0,0,0,4,1
310,Gagliolo,d,PAR,26,"5,77","5,88",2,0,0 / 0,0,0,6,0
311,Pulgar,c,FIO,29,"5,81","5,88",1,0,0 / 0,0,3,8,0
312,Musacchio,d,LAZ,4,"6,0","5,88",0,0,0 / 0,0,0,2,0
313,Schiattarella,c,BEN,28,"6,02","5,88",1,0,0 / 0,0,1,14,1
314,Castillejo,c,MIL,24,"5,83","5,88",1,0,0 / 0,0,0,5,0
315,Kyriakopoulos,d,SAS,21,"5,81","5,88",1,0,0 / 0,0,0,1,1
316,Radu,d,LAZ,31,"5,81","5,87",0,0,0 / 0,0,3,2,0
317,Estevez,c,SPE,27,"5,89","5,87",0,0,0 / 0,0,3,7,0
318,Mbaye,d,BOL,7,"5,57","5,86",1,0,0 / 0,0,0,2,0
319,Asamoah,d,CAG,7,"5,86","5,86",0,0,0 / 0,0,0,0,0
320,Verdi,c,TOR,32,"5,70","5,86",1,0,0 / 0,0,5,6,0
321,Manolas,d,NAP,29,"5,95","5,86",0,0,0 / 0,0,0,5,0
322,De Silvestri,d,BOL,28,"5,71","5,86",2,0,0 / 0,0,0,4,0
