,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni
0,Lukaku,a,INT,35,"6,64","8,9",24,0,6 / 6,0,9,4,0
1,Muriel,a,ATA,32,"6,62","8,88",22,0,2 / 3,0,9,0,0
2,Ronaldo,a,JUV,33,"6,33","8,80",29,0,6 / 8,0,2,3,0
3,Berardi,a,SAS,30,"6,57","8,33",17,0,7 / 8,0,7,4,0
4,Ibrahimovic,a,MIL,18,"6,33","8,33",15,0,3 / 6,0,2,2,1
5,Insigne,a,NAP,35,"6,44","8,13",19,0,7 / 8,0,7,2,1
6,Gomez,c,ATA,10,"6,65","8,05",4,0,0 / 0,0,2,0,0
7,Vlahovic,a,FIO,36,"6,18","7,97",21,0,6 / 6,0,2,1,0
8,Martinez L.,a,INT,38,"6,45","7,86",17,0,2 / 2,0,5,5,0
9,Zapata D.,a,ATA,37,"6,32","7,78",15,0,1 / 1,0,9,0,0
10,Mkhitaryan,c,ROM,34,"6,29","7,71",13,0,1 / 1,0,10,2,0
11,Simy,a,CRO,37,"6,04","7,70",20,0,8 / 8,0,2,1,0
12,Immobile,a,LAZ,35,"6,16","7,63",20,0,4 / 8,0,6,3,1
13,Caputo,a,SAS,24,"6,10","7,62",11,0,3 / 3,0,4,1,0
14,Belotti,a,TOR,34,"6,40","7,57",13,0,4 / 5,0,6,4,0
15,Osimhen,a,NAP,24,"6,31","7,56",10,0,0 / 0,0,2,4,0
16,Nzola,a,SPE,25,"6,14","7,48",11,0,4 / 4,0,3,5,0
17,Joao Pedro,a,CAG,37,"6,19","7,43",16,0,4 / 5,0,3,4,0
18,De Paul,c,UDI,36,"6,49","7,42",9,0,3 / 3,0,10,3,2
19,Malinovskyi,c,ATA,32,"6,34","7,39",8,0,1 / 1,0,11,3,0
20,Vecino,c,INT,4,"6,38","7,38",1,0,0 / 0,0,1,0,0
21,Chiesa,c,JUV,30,"6,4","7,38",9,0,0 / 0,0,5,3,1
22,Rebic,a,MIL,27,"6,11","7,37",11,0,0 / 0,0,4,4,1
23,Morata,a,JUV,30,"6,12","7,37",11,0,1 / 1,0,7,3,1
24,Mayoral,a,ROM,23,"5,96","7,37",10,0,0 / 0,0,3,1,0
25,Kessie',c,MIL,37,"6,46","7,35",13,0,11 / 13,0,4,8,0
26,Mertens,a,NAP,27,"6,11","7,33",9,0,0 / 0,0,7,2,0
27,Gosens,d,ATA,32,"6,31","7,33",11,0,0 / 0,0,6,7,1
28,Lozano,a,NAP,32,"6,30","7,33",11,0,0 / 0,0,3,6,0
29,Veretout,c,ROM,28,"6,25","7,29",10,0,5 / 5,0,1,4,0
30,Destro,a,GEN,25,"6,02","7,28",11,0,0 / 0,0,1,5,0
31,Quagliarella,a,SAM,32,"6,11","7,25",13,0,2 / 3,0,1,1,0
32,Sanchez,a,INT,26,"6,33","7,25",7,0,0 / 1,0,6,0,0
33,Milinkovic-Savic,c,LAZ,32,"6,27","7,20",8,0,0 / 0,0,7,4,0
34,Caicedo,a,LAZ,21,"6,17","7,19",8,0,1 / 1,0,0,5,0
35,Zielinski,c,NAP,36,"6,29","7,18",8,0,0 / 0,0,9,2,0
36,Ilicic,a,ATA,28,"6,25","7,18",6,0,2 / 2,0,9,2,0
37,Verde,a,SPE,19,"6,18","7,18",6,0,0 / 0,0,1,0,0
38,Hakimi,d,INT,35,"6,41","7,16",7,0,0 / 0,0,8,6,0
39,Piccoli,a,SPE,14,"6,04","7,11",5,0,0 / 0,0,0,0,0
40,Scamacca,a,GEN,26,"6,17","7,08",8,0,2 / 2,0,2,1,0
41,Raspadori,a,SAS,20,"6,2","7,08",6,0,0 / 0,0,0,1,0
42,D'ambrosio,d,INT,8,"6,0","7,06",3,0,0 / 0,0,0,2,0
43,Viola,c,BEN,17,"6,15","7,06",5,0,4 / 4,0,1,1,0
44,Ounas,a,CRO,20,"6,28","7,05",4,0,0 / 0,0,4,1,0
45,Soriano,c,BOL,37,"6,28","7,05",9,0,0 / 0,0,4,5,0
46,Pasalic,c,ATA,20,"6,1","7,02",6,0,0 / 0,0,1,2,0
47,Politano,c,NAP,36,"6,22","7,01",9,0,0 / 0,0,3,3,0
48,Messias,a,CRO,36,"6,26","7,01",9,0,0 / 0,0,3,6,0
49,Petagna,a,NAP,16,"6,06","7,0",4,0,0 / 0,0,3,0,0
50,Pussetto,a,UDI,11,"6,18","7,0",3,0,0 / 0,0,1,2,0
51,Pereiro,c,CAG,6,"5,83","7,0",2,0,0 / 0,0,1,0,0
52,Eyango,c,GEN,1,"6,0","7,0",0,0,0 / 0,0,1,0,0
53,Braaf,a,UDI,3,"6,0","7,0",1,0,0 / 0,0,0,0,0
54,Zalewski,c,ROM,1,"6,0","7,0",0,0,0 / 0,0,1,0,0
55,Miranchuk,c,ATA,16,"6,16","6,97",4,0,0 / 0,0,1,0,0
56,Sanabria,a,TOR,14,"5,89","6,96",5,0,0 / 0,0,1,2,0
57,Luis Alberto,c,LAZ,34,"6,22","6,94",9,0,0 / 0,0,0,5,0
58,Shomurodov,a,GEN,30,"6,1","6,92",8,0,0 / 0,0,1,1,0
59,Torregrossa,a,SAM,4,"6,12","6,88",1,0,0 / 0,0,0,0,0
60,Keita B.,a,SAM,22,"6,0","6,86",7,0,0 / 0,0,1,4,1
61,Pellegrini Lo.,c,ROM,33,"6,23","6,86",7,0,1 / 1,0,5,10,0
62,Dybala,a,JUV,19,"6,05","6,84",4,0,0 / 0,0,3,0,0
63,Gabbiadini,a,SAM,15,"6,13","6,83",3,0,1 / 1,0,2,1,0
64,Calhanoglu,c,MIL,33,"6,26","6,83",4,0,1 / 1,0,9,4,0
65,Hernandez T.,d,MIL,33,"6,18","6,83",7,0,0 / 0,0,5,9,0
66,Oddei,a,SAS,3,"6,17","6,83",0,0,0 / 0,0,2,0,0
67,Candreva,c,SAM,33,"6,17","6,82",5,0,2 / 2,0,7,1,0
68,Correa,a,LAZ,28,"5,91","6,82",8,0,1 / 1,0,3,1,1
69,Pobega,c,SPE,20,"6,05","6,8",6,0,0 / 0,0,0,6,0
70,Zappacosta,d,GEN,25,"6,28","6,78",4,0,0 / 0,0,2,3,0
71,Pandev,a,GEN,28,"6,0","6,77",7,0,1 / 1,0,3,5,0
72,Zaccagni,c,VER,35,"6,27","6,76",5,0,1 / 1,0,5,6,0
73,Dzeko,a,ROM,25,"5,96","6,76",7,0,0 / 1,0,3,2,0
74,Orsolini,a,BOL,31,"5,98","6,76",7,0,3 / 3,0,3,0,0
75,Galabinov,a,SPE,8,"6,0","6,75",3,0,0 / 1,0,0,0,0
76,Lammers,a,ATA,8,"6,0","6,75",2,0,0 / 0,0,0,0,0
77,Rafael Leao,a,MIL,29,"5,97","6,72",6,0,0 / 0,0,6,5,0
78,Kucka,c,PAR,28,"6,04","6,71",7,0,4 / 4,0,2,8,0
79,Pereyra,c,UDI,34,"6,24","6,71",5,0,1 / 1,0,5,8,0
80,Barak,c,VER,34,"6,10","6,71",7,0,0 / 0,0,3,5,1
81,Pinamonti,a,INT,5,"6,1","6,7",1,0,0 / 0,0,0,0,0
82,Diaz B.,c,MIL,25,"6,14","6,7",4,0,0 / 0,0,3,2,0
83,Mihaila,a,PAR,15,"6,1","6,7",3,0,0 / 0,0,1,2,0
84,Saponara,c,SPE,8,"6,06","6,69",2,0,0 / 0,0,0,0,1
85,Barrow,a,BOL,38,"5,92","6,68",8,0,0 / 1,0,8,0,0
86,Cuadrado,d,JUV,29,"6,33","6,66",2,0,1 / 1,0,9,9,1
87,Barella,c,INT,36,"6,33","6,65",3,0,0 / 0,0,5,5,0
88,Dimarco,d,VER,35,"6,21","6,64",5,0,0 / 0,0,3,6,0
89,Darmian,d,INT,22,"6,18","6,64",3,0,0 / 0,0,3,5,0
90,Palacio,a,BOL,33,"6,08","6,61",5,0,0 / 0,0,5,5,0
91,Pavoletti,a,CAG,23,"6,09","6,59",4,0,0 / 0,0,3,8,0
92,Freuler,c,ATA,33,"6,38","6,59",2,0,0 / 0,0,3,5,0
93,Skriniar,d,INT,32,"6,33","6,59",3,0,0 / 0,0,0,1,0
94,Man,a,PAR,11,"6,0","6,59",2,0,0 / 0,0,1,1,0
95,Spinazzola,d,ROM,26,"6,27","6,58",2,0,0 / 0,0,4,0,0
96,Mckennie,c,JUV,33,"6,14","6,58",5,0,0 / 0,0,2,5,0
97,Verre,c,SAM,22,"6,07","6,55",3,0,0 / 0,0,3,3,0
98,Sau,a,BEN,20,"5,92","6,55",4,0,1 / 1,0,2,1,1
99,Locatelli,c,SAS,34,"6,28","6,53",4,0,2 / 2,0,1,9,0
100,Bremer,d,TOR,33,"6,11","6,53",5,0,0 / 0,0,0,2,0
101,Traore' Hj.,c,SAS,32,"6,09","6,53",5,0,0 / 0,0,2,6,0
102,Gagliardini,c,INT,22,"6,07","6,52",3,0,0 / 0,0,2,2,0
103,Djuricic,c,SAS,30,"6,0","6,52",5,0,1 / 1,0,3,5,0
104,Ramsey,c,JUV,20,"6,08","6,52",2,0,0 / 0,0,4,2,0
105,Eriksen,c,INT,23,"6,15","6,52",3,0,0 / 0,0,0,1,0
106,Letizia,d,BEN,22,"6,09","6,5",3,0,0 / 0,0,1,2,0
107,Dermaku,d,PAR,1,"6,5","6,5",0,0,0 / 0,0,0,0,0
108,Capradossi,d,SPE,1,"6,5","6,5",0,0,0 / 0,0,0,0,0
109,Pegolo,p,SAS,1,"6,5","6,5",0,0,0 / 0,0,0,0,0
110,Favilli,a,VER,10,"5,95","6,5",2,0,0 / 0,0,0,1,0
111,Edera,a,TOR,1,"6,5","6,5",0,0,0 / 0,0,0,0,0
112,Lapadula,a,BEN,37,"5,91","6,5",8,0,0 / 1,0,2,2,0
113,Paz,d,BOL,6,"6,0","6,5",1,0,0 / 0,0,0,0,0
114,Letica,p,SAM,1,"6,5","6,5",0,0,0 / 0,0,0,0,0
115,Demme,c,NAP,21,"6,26","6,5",2,0,0 / 0,0,2,6,0
116,Crespi,p,CRO,1,"6,5","6,5",0,0,0 / 0,0,0,0,0
117,Kallon,a,GEN,1,"6,5","6,5",0,0,0 / 0,0,0,0,0
118,Lazovic,c,VER,31,"6,05","6,48",3,0,0 / 0,0,6,3,0
119,Jankto,c,SAM,33,"5,92","6,48",6,0,0 / 0,0,3,6,0
120,Bonazzoli,a,TOR,15,"5,9","6,47",2,0,0 / 0,0,3,2,0
121,Faraoni,d,VER,34,"6,07","6,46",4,0,0 / 0,0,5,8,0
122,Caprari,a,BEN,30,"5,93","6,45",5,0,0 / 1,0,6,3,1
123,Boga,a,SAS,27,"5,96","6,44",4,0,0 / 0,0,1,0,0
124,Romero,d,ATA,31,"6,34","6,44",2,0,0 / 0,0,2,10,0
125,Hernani,c,PAR,31,"5,84","6,44",7,0,1 / 1,0,3,11,0
126,Nestorovski,a,UDI,15,"5,97","6,43",2,0,0 / 0,0,1,1,0
127,Hateboer,d,ATA,22,"6,16","6,41",2,0,0 / 0,0,1,3,0
128,Kulusevski,c,JUV,34,"6,07","6,41",4,0,0 / 0,0,3,7,0
129,Tomori,d,MIL,17,"6,24","6,41",1,0,0 / 0,0,0,0,0
130,Ribery,a,FIO,29,"6,12","6,40",2,0,0 / 0,0,6,6,1
131,Pessina,c,ATA,26,"6,17","6,40",2,0,0 / 0,0,1,2,0
132,Nuytinck,d,UDI,19,"6,26","6,39",1,0,0 / 0,0,0,1,0
133,Simeone,a,CAG,29,"5,74","6,38",6,0,0 / 0,0,1,1,0
134,Deulofeu,a,UDI,12,"6,04","6,38",1,0,0 / 0,0,1,0,0
135,Mancini,d,ROM,33,"6,11","6,38",4,0,0 / 0,0,2,10,0
136,Pedro,a,ROM,26,"5,83","6,38",5,0,0 / 0,0,2,3,1
137,Svanberg,c,BOL,32,"5,97","6,38",5,0,0 / 0,0,2,6,1
138,Danilo,d,JUV,34,"6,26","6,38",1,0,0 / 0,0,4,6,0
139,Gyasi,a,SPE,36,"5,93","6,38",4,0,0 / 0,0,6,4,0
140,Hauge,a,MIL,12,"5,88","6,38",2,0,0 / 0,0,0,0,0
141,Miguel Veloso,c,VER,19,"5,97","6,37",2,0,2 / 2,0,2,1,0
142,Okaka,a,UDI,22,"5,82","6,36",4,0,0 / 0,0,1,2,0
143,Brozovic,c,INT,33,"6,12","6,35",2,0,0 / 0,0,6,7,1
144,Damsgaard,c,SAM,30,"6,07","6,35",2,0,0 / 0,0,4,3,0
145,Maggiore,c,SPE,32,"6,08","6,34",3,0,0 / 0,0,1,3,0
146,Ansaldi,d,TOR,26,"6,04","6,33",1,0,1 / 1,0,5,1,0
147,Farias,a,SPE,26,"5,88","6,33",4,0,0 / 0,0,2,5,0
148,Castrovilli,c,FIO,32,"5,92","6,33",5,0,0 / 0,0,3,8,1
149,Defrel,a,SAS,28,"5,95","6,32",3,0,0 / 0,0,2,1,0
150,Zaza,a,TOR,26,"5,69","6,31",6,0,0 / 0,0,0,4,0
151,De Vrij,d,INT,32,"6,25","6,31",1,0,0 / 0,0,0,2,0
152,Perisic,c,INT,31,"5,90","6,31",4,0,0 / 0,0,2,3,0
153,Carles Perez,a,ROM,16,"5,88","6,31",2,0,0 / 0,0,1,0,0
154,Iago Falque,a,BEN,10,"5,9","6,3",1,0,0 / 0,0,1,0,0
155,Lazzari,c,LAZ,32,"6,08","6,30",2,0,0 / 0,0,5,2,1
156,Sottil,c,CAG,20,"6,02","6,3",2,0,0 / 0,0,1,3,0
157,Molina N.,d,UDI,25,"5,88","6,3",2,0,0 / 0,0,5,1,0
158,Ruiz,c,NAP,32,"6,02","6,28",3,0,0 / 0,0,0,1,0
159,Nandez,c,CAG,32,"6,14","6,28",2,0,0 / 0,0,3,7,1
160,Calabria,d,MIL,32,"6,22","6,27",2,0,0 / 0,0,1,7,0
161,Sansone,a,BOL,22,"5,93","6,27",2,0,0 / 0,0,2,2,0
162,Kjaer,d,MIL,28,"6,29","6,27",0,0,0 / 0,0,1,3,0
163,De Ligt,d,JUV,25,"6,18","6,26",1,0,0 / 0,0,1,4,0
164,Marin,c,CAG,37,"5,96","6,26",3,0,0 / 0,0,5,6,0
165,Ranocchia,d,INT,8,"6,25","6,25",0,0,0 / 0,0,1,2,0
166,Bonaventura,c,FIO,32,"5,98","6,25",3,0,0 / 0,0,2,5,0
167,Santander,a,BOL,2,"5,75","6,25",0,0,0 / 0,0,1,0,0
168,Badelj,c,GEN,29,"6,16","6,24",1,0,0 / 0,0,3,7,0
169,Izzo,d,TOR,25,"6,06","6,24",2,0,0 / 0,0,0,3,0
170,Gervinho,a,PAR,27,"5,65","6,24",5,0,0 / 0,0,1,0,0
171,Mandragora,c,TOR,27,"5,96","6,24",3,0,0 / 0,0,1,3,1
172,Skov Olsen,a,BOL,25,"5,9","6,24",2,0,0 / 0,0,3,1,0
173,Young,d,INT,22,"6,0","6,23",1,0,0 / 0,0,4,4,0
174,Brunetta,c,PAR,11,"5,91","6,23",1,0,0 / 0,0,2,3,0
175,Karsdorp,d,ROM,34,"5,99","6,22",1,0,0 / 0,0,6,2,0
176,Di Lorenzo,d,NAP,36,"6,04","6,22",3,0,0 / 0,0,3,11,0
177,Eysseric,c,FIO,14,"5,86","6,21",2,0,0 / 0,0,0,2,0
178,Rrahmani,d,NAP,14,"6,07","6,21",1,0,0 / 0,0,0,2,0
179,Bastoni S.,d,SPE,21,"5,95","6,21",1,0,0 / 0,0,6,7,0
180,Vignato,a,BOL,25,"6,0","6,2",1,0,0 / 0,0,4,4,0
181,Erlic,d,SPE,22,"5,89","6,20",3,0,0 / 0,0,1,6,0
182,Ouwejan,d,UDI,10,"6,0","6,2",0,0,0 / 0,0,2,0,0
183,De Roon,c,ATA,35,"6,2","6,19",1,0,0 / 0,0,1,7,1
184,Pezzella Giu.,d,PAR,24,"6,04","6,19",1,0,0 / 0,0,4,7,0
185,Salcedo E.,a,VER,16,"5,84","6,19",2,0,0 / 0,0,1,3,0
186,Elmas,c,NAP,21,"5,90","6,19",2,0,0 / 0,0,1,2,0
187,Thorsby,c,SAM,33,"6,03","6,18",3,0,0 / 0,0,1,10,0
188,Pelle',a,PAR,11,"5,77","6,18",1,0,0 / 0,0,2,1,0
189,Alex Sandro,d,JUV,24,"6,0","6,17",2,0,0 / 0,0,1,2,0
190,Pastore,c,ROM,3,"6,17","6,17",0,0,0 / 0,0,0,0,0
191,Rabiot,c,JUV,33,"5,88","6,17",4,0,0 / 0,0,1,5,1
192,Yoshida,d,SAM,29,"6,07","6,17",1,0,0 / 0,0,2,5,0
193,Saelemaekers,c,MIL,32,"5,95","6,16",2,0,0 / 0,0,4,5,1
194,Ilic,c,VER,28,"5,98","6,16",2,0,0 / 0,0,0,2,0
195,Palomino,d,ATA,31,"6,06","6,15",1,0,0 / 0,0,1,3,0
196,Bakayoko,c,NAP,26,"6,04","6,15",2,0,0 / 0,0,0,4,1
197,Cerri,a,CAG,11,"5,86","6,14",1,0,0 / 0,0,0,1,0
198,Bourabia,c,SAS,11,"5,91","6,14",1,0,0 / 0,0,0,2,0
199,Nainggolan,c,CAG,23,"6,11","6,13",1,0,0 / 0,0,0,5,0
200,Buffon,p,JUV,8,"6,38","6,12",0,5,0 / 0,1,0,0,0
201,Rugani,d,CAG,12,"5,88","6,12",1,0,0 / 0,0,1,2,0
202,Tello,c,BEN,12,"5,92","6,12",1,0,0 / 0,0,0,2,0
203,Pjaca,a,GEN,29,"5,74","6,12",3,0,0 / 0,0,2,0,0
204,Vidal,c,INT,20,"6,05","6,12",1,0,0 / 0,0,0,3,0
205,Terracciano,p,FIO,4,"6,38","6,12",0,4,0 / 0,1,0,0,0
206,Insigne R.,a,BEN,28,"5,80","6,12",2,0,0 / 0,0,4,2,0
207,Strootman,c,GEN,18,"6,14","6,11",0,0,0 / 0,0,3,7,0
208,Gaich,a,BEN,14,"5,68","6,11",2,0,0 / 0,0,0,1,0
209,Bonucci,d,JUV,25,"5,92","6,1",2,0,0 / 0,0,0,3,0
210,Kalulu,d,MIL,10,"5,85","6,1",1,0,0 / 0,0,0,1,0
211,Djimsiti,d,ATA,33,"6,15","6,09",0,0,0 / 0,0,2,8,0
212,Stryger Larsen,d,UDI,32,"5,91","6,09",2,0,0 / 0,0,0,0,0
213,Criscito,d,GEN,22,"6,09","6,09",1,0,1 / 1,0,0,6,0
214,Colley,d,SAM,29,"5,98","6,09",2,0,0 / 0,0,0,6,0
215,Ismajli,d,SPE,16,"5,94","6,09",1,0,0 / 0,0,1,1,1
216,Arslan,c,UDI,29,"5,93","6,09",3,0,0 / 0,0,0,9,0
217,Tomiyasu,d,BOL,31,"6,02","6,08",2,0,0 / 0,0,0,4,0
218,Maehle,d,ATA,18,"5,97","6,08",0,0,0 / 0,0,2,0,0
219,Karamoh,a,PAR,21,"5,76","6,07",2,0,0 / 0,0,1,3,0
220,Lykogiannis,d,CAG,30,"5,77","6,07",4,0,0 / 0,0,2,6,2
221,Reca,d,CRO,30,"5,92","6,07",2,0,0 / 0,0,2,7,0
222,Krunic,c,MIL,17,"5,82","6,06",1,0,0 / 0,0,2,3,0
223,Bastoni,d,INT,33,"6,09","6,06",0,0,0 / 0,0,2,6,0
224,Arthur,c,JUV,20,"5,98","6,05",1,0,0 / 0,0,0,3,0
225,Demiral,d,JUV,11,"6,0","6,05",0,0,0 / 0,0,1,1,0
226,Colley E.,a,VER,19,"5,92","6,05",1,0,0 / 0,0,0,1,0
227,Brugman,c,PAR,24,"6,02","6,04",1,0,0 / 0,0,1,7,0
228,Lopez M.,c,SAS,28,"5,95","6,04",2,0,0 / 0,0,0,7,0
229,Singo,d,TOR,27,"5,93","6,04",1,0,0 / 0,0,2,2,1
230,Ferrari G.,d,SAS,34,"6,07","6,03",0,0,0 / 0,0,2,7,0
231,Lukic,c,TOR,32,"5,81","6,03",3,0,0 / 0,0,0,4,0
232,Vojvoda,d,TOR,19,"5,71","6,03",2,0,0 / 0,0,2,4,0
